Matemática Discreta,Cálculo I,Álbebra Linear
Métodos Quantitativos Aplicados à Administração de Empresas I,Cálculo II,Cálculo Diferencial e Integral II
Economia para Computação,|Matrizes, Vetores e Geometria Analítica|,Matemática Discreta
Projeto Supervisionado ou de Graduação I,Introdução à Estatística,Introdução a Álbebra
Projeto Supervisionado ou de Graduação II,Tratamento e Análise de Dados/ Informações,Circuitos Lógicos
Resolução de Problemas I,Introdução à Programação,Projetos Digitais e Microprocessadores
Resolução de Problemas II,Fundamentos de Sistemas de Informação,Software Básico
Computação Orientada a Objetos,Introdução à Análise de Algoritmos,Oficina de Computação
Desenvolvimento de Sistemas de Informação Distribuídos,Algoritmos e Estruturas de Dados I,Técnicas Alternativas de Programação
Empreendedorismo em Informática,Algoritmos e Estruturas de Dados II,Estatística II
 ,Introdução à Teoria da Computação,Introdução à Computação Científica
 ,Sistemas Operacionais,Engenharia de Requisitos
 ,Arquitetura de Computadores,Redes de Computadores II
 ,Laboratório de Bancos de Dados,Construção de Compiladores
 ,Organização de Computadores Digitais, 
 ,Introdução à Administração para Computação, 
 ,Banco de Dados, 
 ,|Análise, Projeto e Interface Humano-Computador|, 
 ,Inteligência Artificial, 
 ,Engenharia de Sistemas de Informação I, 
 ,Redes de Computadores, 
 ,Prática e Gerenciamento de Projetos, 
