Tratamento e Análise de Dados/ Informações,Cálculo I,FUNDAMENTOS DE ALGORITMOS
Métodos Quantitativos Aplicados à Administração de Empresas I,Cálculo II,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Economia para Computação,Matemática Discreta,LÓGICA PARA COMPUTAÇÃO
Projeto Supervisionado ou de Graduação I,|Matrizes, Vetores e Geometria Analítica|,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Projeto Supervisionado ou de Graduação II,Introdução à Estatística,SEMÂNTICA FORMAL N
Computação Orientada a Objetos,Resolução de Problemas I,EMPREENDIMENTO EM INFORMÁTICA
Introdução à Administração para Computação,Introdução à Programação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Desenvolvimento de Sistemas de Informação Distribuídos,Fundamentos de Sistemas de Informação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Empreendedorismo em Informática,Introdução à Análise de Algoritmos,CIRCUITOS DIGITAIS
 ,Algoritmos e Estruturas de Dados I,TEORIA DA COMPUTAÇÃO N
 ,Algoritmos e Estruturas de Dados II,SISTEMAS OPERACIONAIS I N
 ,Introdução à Teoria da Computação,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,Sistemas Operacionais,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Arquitetura de Computadores,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
 ,Laboratório de Bancos de Dados,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,Resolução de Problemas II,OTIMIZAÇÃO COMBINATÓRIA
 ,Organização de Computadores Digitais,COMPILADORES
 ,Banco de Dados,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,|Análise, Projeto e Interface Humano-Computador|, 
 ,Inteligência Artificial, 
 ,Engenharia de Sistemas de Informação I, 
 ,Redes de Computadores, 
 ,Prática e Gerenciamento de Projetos, 
