Matemática Discreta,Cálculo I,Lógica Computacional
Economia para Computação,Cálculo II,Álgebra Linear
Projeto Supervisionado ou de Graduação II,|Matrizes, Vetores e Geometria Analítica|,Cálculo IV
Resolução de Problemas I,Introdução à Estatística,|Direito, Legislação e Ética|
Introdução à Análise de Algoritmos,Tratamento e Análise de Dados/ Informações,Empreendedorismo
Resolução de Problemas II,Métodos Quantitativos Aplicados à Administração de Empresas I,Dispositivos e Circuitos Eletrônicos
Computação Orientada a Objetos,Projeto Supervisionado ou de Graduação I,Metodologia da Pesquisa Científica
Introdução à Administração para Computação,Introdução à Programação,Linguagem de Montagem
 ,Fundamentos de Sistemas de Informação,Laboratório de Circuitos Digitais
 ,Algoritmos e Estruturas de Dados I,Circuitos Digitais
 ,Algoritmos e Estruturas de Dados II,Pesquisa Operacional I
 ,Introdução à Teoria da Computação,Pesquisa Operacional II
 ,Sistemas Operacionais,Compiladores
 ,Arquitetura de Computadores,Microcontroladores
 ,Laboratório de Bancos de Dados,Computação Gráfica
 ,Organização de Computadores Digitais,Banco de Dados II
 ,Banco de Dados,Segurança em Sistemas de Informação
 ,|Análise, Projeto e Interface Humano-Computador|,Projeto e Implementação de Sistemas II
 ,Inteligência Artificial,Laboratório de Mecânica Aplicada
 ,Engenharia de Sistemas de Informação I,Sistemas Operacionais I
 ,Redes de Computadores,Projeto de Redes de Computadores
 ,Prática e Gerenciamento de Projetos, 
 ,Desenvolvimento de Sistemas de Informação Distribuídos, 
 ,Empreendedorismo em Informática, 
