Cálculo III,Geometria Analítica,Cálculo Diferencial e Integral I
Física Básica I,Cálculo I,Introdução à Lógica e Verificação de Programas
Laboratório de Física Geral I,Matemática Discreta I,Funções Diferenciáveis e Séries
Eletrônica para Computação,Cálculo II,Integração na Universidade e na Profissão
Organização de Arquivos,Cálculo IV,Língua Portuguesa
Programação Orientada a Objetos,Estatística,Modelagem e Simulação
Teoria da Computação e Linguagens Formais,Álgebra Linear e Equações Diferenciais, 
Arquitetura de Computadores,Introdução à Ciência de Computação I, 
Sistemas de Informação,Laboratório de Introdução à Ciência de Computação I, 
Evolução Histórica da Computação e Aplicações,Prática em Lógica Digital, 
Computadores e Sociedade I,Introdução à Lógica Digital, 
Projeto Supervisionado I,Introdução à Ciência de Computação II, 
Projeto Supervisionado II,Algoritmos e Estruturas de Dados I, 
Computação Gráfica,Prática em Sistemas Digitais, 
Processos Estocásticos,Sistemas Digitais, 
Redes de Computadores,Modelagem Computacional em Grafos, 
Inteligência Artificial,Algoritmos Avançados e Aplicações, 
Introdução ao Desenvolvimento Web,Sistemas Operacionais I, 
 ,Informação Profissional em Ciências da Computação, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
