Matemática Discreta I,Geometria Analítica,PROBABILIDADE E ESTATISTICA
Estatística,Cálculo I,EQUACOES DIFER E DE DIFERENCAS
Laboratório de Física Geral I,Cálculo II,ESTRUTURAS DISCRETAS
Prática em Lógica Digital,Cálculo III,LAB DE MECANICA NEWTONIANA
Introdução à Lógica Digital,Cálculo IV,SEMANTICA DE LINGUAGENS
Eletrônica para Computação,Álgebra Linear e Equações Diferenciais,COMPUTABILIDADE
Prática em Sistemas Digitais,Física Básica I,LOGICA PARA COMPUTACAO
Sistemas Digitais,Introdução à Ciência de Computação I,O HUMANO E O FENOM RELIGIOSO
Arquitetura de Computadores,Laboratório de Introdução à Ciência de Computação I,ETICA CRISTA
Sistemas de Informação,Introdução à Ciência de Computação II,ETICA SOCIOAMBIENT DIR HUMANOS
Informação Profissional em Ciências da Computação,Algoritmos e Estruturas de Dados I,INTRODUCAO A PROGRAMACAO
Evolução Histórica da Computação e Aplicações,Organização de Arquivos,INTR INT HUMANO-COMPUTADOR
Computadores e Sociedade I,Modelagem Computacional em Grafos,MODELAGEM DE DADOS
Projeto Supervisionado I,Programação Orientada a Objetos,PROGRAMACAO MODULAR
Projeto Supervisionado II,Algoritmos Avançados e Aplicações,ENGENHARIA DE REQUISITOS
Computação Gráfica,Sistemas Operacionais I,MODELAGEM DE SOFTWARE
Processos Estocásticos,Teoria da Computação e Linguagens Formais,ESPEC/ANAL FORMAL DE SISTEMAS
Introdução ao Desenvolvimento Web,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
