Matemática Discreta I,Geometria Analítica,PROBABILIDADE E ESTATISTICA
Estatística,Cálculo I,EQUACOES DIFER E DE DIFERENCAS
Informação Profissional em Ciências da Computação,Cálculo II,ESTRUTURAS DISCRETAS
Evolução Histórica da Computação e Aplicações,Cálculo III,LOGICA PARA COMPUTACAO
Computadores e Sociedade I,Cálculo IV,O HUMANO E O FENOM RELIGIOSO
Projeto Supervisionado I,Álgebra Linear e Equações Diferenciais,ETICA CRISTA
Projeto Supervisionado II,Introdução à Ciência de Computação I,ETICA SOCIOAMBIENT DIR HUMANOS
Prática em Lógica Digital,Laboratório de Introdução à Ciência de Computação I,SEMANTICA DE LINGUAGENS
Introdução à Lógica Digital,Introdução à Ciência de Computação II,COMPUTABILIDADE
Eletrônica para Computação,Algoritmos e Estruturas de Dados I,INTRODUCAO A PROGRAMACAO
Prática em Sistemas Digitais,Organização de Arquivos,INTR INT HUMANO-COMPUTADOR
Sistemas Digitais,Modelagem Computacional em Grafos,MODELAGEM DE DADOS
Arquitetura de Computadores,Programação Orientada a Objetos,PROGRAMACAO MODULAR
Sistemas de Informação,Algoritmos Avançados e Aplicações,ENGENHARIA DE REQUISITOS
Computação Gráfica,Sistemas Operacionais I,MODELAGEM DE SOFTWARE
Processos Estocásticos,Teoria da Computação e Linguagens Formais,ESPEC/ANAL FORMAL DE SISTEMAS
Introdução ao Desenvolvimento Web,Organização de Computadores Digitais I,LAB DE MECANICA NEWTONIANA
Laboratório de Física Geral I,Bases de Dados, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
 ,Física Básica I, 
