Cálculo III,Geometria Analítica,Matemática Discreta (CC)
Física Básica I,Cálculo I,Lógica para Computação
Laboratório de Física Geral I,Matemática Discreta I,Fundamentos de Programação
Prática em Lógica Digital,Cálculo II,Fundamentos do Raciocínio Lógico
Introdução à Lógica Digital,Cálculo IV,Algoritmos e Estrutura de Dados II
Eletrônica para Computação,Estatística,Programação Funcional
Prática em Sistemas Digitais,Álgebra Linear e Equações Diferenciais,Teoria da Computabilidade e Complexidade
Sistemas Digitais,Introdução à Ciência de Computação I,Organização e Arquitetura de Computadores II
Modelagem Computacional em Grafos,Laboratório de Introdução à Ciência de Computação I,Disciplina Integradora I (Lógica e Programação)
Sistemas de Informação,Introdução à Ciência de Computação II,Métodos Formais para Computação
Informação Profissional em Ciências da Computação,Algoritmos e Estruturas de Dados I,Engenharia de Software Orientada a Modelos
Computadores e Sociedade I,Organização de Arquivos,Metodologia Científica e Escrita para Computação
Projeto Supervisionado I,Programação Orientada a Objetos,Humanismo e Cultura Religiosa
Projeto Supervisionado II,Algoritmos Avançados e Aplicações,Empreendimentos Empresariais
Cálculo Numérico,Sistemas Operacionais I,Ética e Filosofia da Ciência
Processos Estocásticos,Teoria da Computação e Linguagens Formais,Programação de Baixo Nível
 ,Arquitetura de Computadores,Técnicas de Programação
 ,Evolução Histórica da Computação e Aplicações,Modelos para Computação Concorrente
 ,Organização de Computadores Digitais I,Disciplina Integradora II (Iniciação Científica)
 ,Bases de Dados,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,Computação Gráfica,Laboratório de Sistemas Operacionais
 ,Engenharia de Software,Introdução à Redes de Computadores
 ,Redes de Computadores,Implementação de Sistemas de Bancos de Dados
 ,Inteligência Artificial,Interpretação de Linguagens de Programação
 ,Programação Matemática,Laboratório de Redes de Computadores
 ,Programação Concorrente,Projeto e Implementação de Sistemas Interativos
 ,Linguagens de Programação e Compiladores,Simulação e Métodos Analíticos
 ,Introdução ao Desenvolvimento Web,Sistemas Inteligentes e Autônomos
 , ,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
 , ,Disciplina Integradora IV - Trabalho de Conclusão
