Informação Profissional em Ciências da Computação,Geometria Analítica,Análise Combinatória
Projeto Supervisionado I,Cálculo I,Lógica Matemática
Projeto Supervisionado II,Matemática Discreta I,Administração
Laboratório de Introdução à Ciência de Computação I,Cálculo II,Comunicação e Expressão
Prática em Lógica Digital,Cálculo III,Contabilidade e Custos
Introdução à Lógica Digital,Cálculo IV,Direito e Legislação
Eletrônica para Computação,Estatística,Economia
Organização de Arquivos,Álgebra Linear e Equações Diferenciais,Empreendedorismo
Programação Orientada a Objetos,Evolução Histórica da Computação e Aplicações,Estágio
Redes de Computadores,Computadores e Sociedade I,Filosofia
Introdução ao Desenvolvimento Web,Introdução à Ciência de Computação I,Inglês
Laboratório de Física Geral I,Introdução à Ciência de Computação II,Métodos Quantitativos Aplicados à Administração de Empresas
 ,Algoritmos e Estruturas de Dados I,Sociologia
 ,Prática em Sistemas Digitais,Psicologia
 ,Sistemas Digitais,Circuitos Eletrônicos
 ,Modelagem Computacional em Grafos,Análise de Algoritmos
 ,Algoritmos Avançados e Aplicações,Organização de Arquivos e Dados
 ,Sistemas Operacionais I,Automação e Controle
 ,Teoria da Computação e Linguagens Formais,Interação Humano-Computador
 ,Arquitetura de Computadores,Métodos Formais
 ,Sistemas de Informação,Modelagem e Simulação
 ,Organização de Computadores Digitais I,Processamento Digital de Sinais
 ,Bases de Dados,Processamento de Imagens
 ,Computação Gráfica,Redes de Computadores
 ,Cálculo Numérico,Segurança e Auditoria de Sistemas
 ,Processos Estocásticos,Sistemas Digitais
 ,Engenharia de Software,Sistemas Distribuídos
 ,Inteligência Artificial,Sistemas Embarcados
 ,Programação Matemática,Sistemas Multimídia
 ,Programação Concorrente,Tolerância a Falhas
 ,Linguagens de Programação e Compiladores,Telecomunicações
 ,Física Básica I, 
