Matemática Discreta I,Geometria Analítica,LÓGICA MATEMÁTICA
Cálculo III,Cálculo I,TÓPICOS 1
Informação Profissional em Ciências da Computação,Cálculo II,DIREITO
Projeto Supervisionado I,Cálculo IV,EMPREENDEDORISMO
Projeto Supervisionado II,Estatística,TÓPICOS 2
Prática em Lógica Digital,Álgebra Linear e Equações Diferenciais,ARQUITETURA DE COMPUTADORES
Introdução à Lógica Digital,Evolução Histórica da Computação e Aplicações,LINGUAGENS DE PROGRAMAÇÃO
Eletrônica para Computação,Computadores e Sociedade I,TEORIA DA COMPUTAÇÃO
Algoritmos Avançados e Aplicações,Introdução à Ciência de Computação I,MATEMÁTICA DISCRETA
Sistemas de Informação,Laboratório de Introdução à Ciência de Computação I,PROGRAMAÇÃO DE COMPUTADORES 1 CN
Cálculo Numérico,Introdução à Ciência de Computação II,FÍSICA PARA COMPUTAÇÃO
Programação Matemática,Algoritmos e Estruturas de Dados I,ENGENHARIA DE SOFTWARE
Introdução ao Desenvolvimento Web,Prática em Sistemas Digitais,SISTEMAS GERENCIADORES DE BD
Física Básica I,Sistemas Digitais,REDES DE COMPUTADORES 2
Laboratório de Física Geral I,Organização de Arquivos,SISTEMAS DISTRIBUÍDOS
 ,Modelagem Computacional em Grafos,PROJETO DE SOFTWARE
 ,Programação Orientada a Objetos,PROJETO FINAL DE CURSO 1
 ,Sistemas Operacionais I,MULTIMÍDIA
 ,Teoria da Computação e Linguagens Formais,PROJETO FINAL DE CURSO 2
 ,Arquitetura de Computadores,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Computação Gráfica, 
 ,Processos Estocásticos, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Inteligência Artificial, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
