Geometria Analítica,Cálculo I,INFORMATICA E SOCIEDADE
Cálculo III,Matemática Discreta I,INGLES PARA COMPUTACAO
Cálculo IV,Cálculo II,HISTORIA E FUTURO DA COMPUTACAO
Álgebra Linear e Equações Diferenciais,Estatística,METODOL EXPRESSAO TEC-CIENTIFICA
Informação Profissional em Ciências da Computação,Evolução Histórica da Computação e Aplicações,ALGEBRA VET LINEAR P/COMPUTACAO
Computadores e Sociedade I,Introdução à Ciência de Computação I,FISICA PARA COMPUTACAO
Projeto Supervisionado I,Laboratório de Introdução à Ciência de Computação I,PARADIGMAS LING.COMPUTACIONAIS
Projeto Supervisionado II,Introdução à Ciência de Computação II,INTRODUCAO A COMPUTACAO
Prática em Lógica Digital,Algoritmos e Estruturas de Dados I,INTERFACES USUARIO-MAQUINA
Introdução à Lógica Digital,Prática em Sistemas Digitais,INTRODUÇÃO A MULTIMIDIA
Eletrônica para Computação,Sistemas Digitais,PROJETO DE DESENVOLVIMENTO
Programação Orientada a Objetos,Organização de Arquivos, 
Algoritmos Avançados e Aplicações,Modelagem Computacional em Grafos, 
Teoria da Computação e Linguagens Formais,Sistemas Operacionais I, 
Sistemas de Informação,Arquitetura de Computadores, 
Cálculo Numérico,Organização de Computadores Digitais I, 
Processos Estocásticos,Bases de Dados, 
Programação Matemática,Computação Gráfica, 
Introdução ao Desenvolvimento Web,Engenharia de Software, 
Física Básica I,Redes de Computadores, 
Laboratório de Física Geral I,Inteligência Artificial, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
