Cálculo III,Geometria Analítica,Introdução a Álbebra
Estatística,Cálculo I,Metodologia Científica
Informação Profissional em Ciências da Computação,Matemática Discreta I,Projetos Digitais e Microprocessadores
Evolução Histórica da Computação e Aplicações,Cálculo II,Algoritmos e Teoria dos Grafos
Computadores e Sociedade I,Cálculo IV,Introdução a Teoria Geral da Administração
Projeto Supervisionado I,Álgebra Linear e Equações Diferenciais,Análise de Algoritmos
Projeto Supervisionado II,Introdução à Ciência de Computação I,Oficina de Computação
Eletrônica para Computação,Laboratório de Introdução à Ciência de Computação I,Técnicas Alternativas de Programação
Programação Orientada a Objetos,Prática em Lógica Digital,Estatística II
Arquitetura de Computadores,Introdução à Lógica Digital,Introdução à Computação Científica
Sistemas de Informação,Introdução à Ciência de Computação II,Redes de Computadores II
Computação Gráfica,Algoritmos e Estruturas de Dados I,Projeto de Software
Processos Estocásticos,Prática em Sistemas Digitais,Inteligência Artificial
Inteligência Artificial,Sistemas Digitais,Sistemas de Bancos de Dados
Introdução ao Desenvolvimento Web,Organização de Arquivos,Engenharia de Software
Física Básica I,Modelagem Computacional em Grafos,Construção de Compiladores
Laboratório de Física Geral I,Algoritmos Avançados e Aplicações, 
 ,Sistemas Operacionais I, 
 ,Teoria da Computação e Linguagens Formais, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
