Cálculo III,Geometria Analítica,FUNDAMENTOS DE ALGORITMOS
Física Básica I,Cálculo I,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Laboratório de Física Geral I,Matemática Discreta I,LÓGICA PARA COMPUTAÇÃO
Introdução à Ciência de Computação II,Cálculo II,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Programação Orientada a Objetos,Cálculo IV,SEMÂNTICA FORMAL N
Algoritmos Avançados e Aplicações,Estatística,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
Sistemas de Informação,Álgebra Linear e Equações Diferenciais,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Informação Profissional em Ciências da Computação,Introdução à Ciência de Computação I,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Evolução Histórica da Computação e Aplicações,Laboratório de Introdução à Ciência de Computação I,TEORIA DA COMPUTAÇÃO N
Computadores e Sociedade I,Prática em Lógica Digital,COMPLEXIDADE DE ALGORITMOS - B
Projeto Supervisionado I,Introdução à Lógica Digital,SISTEMAS OPERACIONAIS I N
Projeto Supervisionado II,Eletrônica para Computação,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Processos Estocásticos,Algoritmos e Estruturas de Dados I,EMPREENDIMENTO EM INFORMÁTICA
Introdução ao Desenvolvimento Web,Prática em Sistemas Digitais,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Sistemas Digitais,ENGENHARIA DE SOFTWARE N
 ,Organização de Arquivos,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,Modelagem Computacional em Grafos, 
 ,Sistemas Operacionais I, 
 ,Teoria da Computação e Linguagens Formais, 
 ,Arquitetura de Computadores, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Computação Gráfica, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
