Cálculo III,Geometria Analítica,|Ciência, Tecnologia e Sociedade|
Informação Profissional em Ciências da Computação,Cálculo I,Planejamento e Gestão de Projetos
Computadores e Sociedade I,Matemática Discreta I,Informática e Sociedade
Projeto Supervisionado I,Cálculo II,Trabalho de Conclusão de Curso I (TCC)
Projeto Supervisionado II,Cálculo IV,Trabalho de Conclusão de Curso II (TCC)
Prática em Lógica Digital,Estatística,Circuitos e Técnicas Digitais
Introdução à Lógica Digital,Álgebra Linear e Equações Diferenciais,Banco de Dados I
Eletrônica para Computação,Evolução Histórica da Computação e Aplicações,Sistemas Multimídia
Sistemas de Informação,Introdução à Ciência de Computação I,Programação Orientada a Objetos II
Introdução ao Desenvolvimento Web,Laboratório de Introdução à Ciência de Computação I,Programação Concorrente
Física Básica I,Introdução à Ciência de Computação II,Engenharia de Software I
Laboratório de Física Geral I,Algoritmos e Estruturas de Dados I,Redes de Computadores II
 ,Prática em Sistemas Digitais,Segurança em Computação
 ,Sistemas Digitais, 
 ,Organização de Arquivos, 
 ,Modelagem Computacional em Grafos, 
 ,Programação Orientada a Objetos, 
 ,Algoritmos Avançados e Aplicações, 
 ,Sistemas Operacionais I, 
 ,Teoria da Computação e Linguagens Formais, 
 ,Arquitetura de Computadores, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Computação Gráfica, 
 ,Cálculo Numérico, 
 ,Processos Estocásticos, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
