Geometria Analítica,Cálculo I,Algebra 1
Cálculo III,Matemática Discreta I,Lógica Computacional 1
Informação Profissional em Ciências da Computação,Cálculo II,SOFTWARE BASICO
Computadores e Sociedade I,Cálculo IV,Computação Experimental
Projeto Supervisionado I,Estatística,INFORMATICA E SOCIEDADE
Projeto Supervisionado II,Álgebra Linear e Equações Diferenciais,Trabalho de Graduação 1
Prática em Lógica Digital,Evolução Histórica da Computação e Aplicações,Trabalho de Graduação 2
Introdução à Lógica Digital,Introdução à Ciência de Computação I,Organização de Arquivos
Eletrônica para Computação,Laboratório de Introdução à Ciência de Computação I,BANCOS DE DADOS
Programação Orientada a Objetos,Introdução à Ciência de Computação II,CALCULO NUMERICO
Sistemas Operacionais I,Algoritmos e Estruturas de Dados I,Compiladores
Computação Gráfica,Prática em Sistemas Digitais,INTRODUCAO A INTELIGENCIA ARTIFICIAL
Redes de Computadores,Sistemas Digitais,Metodologia Científica
Introdução ao Desenvolvimento Web,Organização de Arquivos,Redes de Computadores
Física Básica I,Modelagem Computacional em Grafos,Segurança Computacional
Laboratório de Física Geral I,Algoritmos Avançados e Aplicações,Tecnicas de Programação 1
 ,Teoria da Computação e Linguagens Formais,Tecnicas de Programação 2
 ,Arquitetura de Computadores, 
 ,Sistemas de Informação, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Cálculo Numérico, 
 ,Processos Estocásticos, 
 ,Engenharia de Software, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
