Matemática Discreta I,Geometria Analítica,Cálculo I
Informação Profissional em Ciências da Computação,Cálculo I,Lógica Computacional
Evolução Histórica da Computação e Aplicações,Cálculo II,|Direito, Legislação e Ética|
Computadores e Sociedade I,Cálculo III,Projeto e Implementação de Sistemas I 12
Projeto Supervisionado I,Cálculo IV,Empreendedorismo
Projeto Supervisionado II,Estatística,Dispositivos e Circuitos Eletrônicos
Eletrônica para Computação,Álgebra Linear e Equações Diferenciais,Metodologia da Pesquisa Científica
Programação Orientada a Objetos,Introdução à Ciência de Computação I,Linguagem de Montagem
Processos Estocásticos,Laboratório de Introdução à Ciência de Computação I,Fundamentos de Computação
Redes de Computadores,Prática em Lógica Digital,Pesquisa Operacional II
Introdução ao Desenvolvimento Web,Introdução à Lógica Digital,Microcontroladores
Laboratório de Física Geral I,Introdução à Ciência de Computação II,Banco de Dados II
 ,Algoritmos e Estruturas de Dados I,Engenharia de Software II
 ,Prática em Sistemas Digitais,Segurança em Sistemas de Informação
 ,Sistemas Digitais,Projeto e Implementação de Sistemas II
 ,Organização de Arquivos,Sistemas Operacionais I
 ,Modelagem Computacional em Grafos,Projeto de Redes de Computadores
 ,Algoritmos Avançados e Aplicações, 
 ,Sistemas Operacionais I, 
 ,Teoria da Computação e Linguagens Formais, 
 ,Arquitetura de Computadores, 
 ,Sistemas de Informação, 
 ,Organização de Computadores Digitais I, 
 ,Bases de Dados, 
 ,Computação Gráfica, 
 ,Cálculo Numérico, 
 ,Engenharia de Software, 
 ,Inteligência Artificial, 
 ,Programação Matemática, 
 ,Programação Concorrente, 
 ,Linguagens de Programação e Compiladores, 
 ,Física Básica I, 
