Contabilidade para Computação,|Matrizes, Vetores e Geometria Analítica|,Cálculo II
Fundamentos de Economia,Matemática Discreta,Cálculo III
Empreendedorismo,Cálculo I,Cálculo IV
Atividades Acadêmicas Científicas e Culturais I,Introdução à Estatística,Álgebra Linear e Equações Diferenciais
Atividades Acadêmicas Científicas e Culturais II,Introdução à Ciência de Computação I,Física Básica I
Atividades Acadêmicas Científicas e Culturais III,Laboratório de Introdução à Ciência de Computação I,Laboratório de Física Geral I
Engenharia de Segurança,Elementos de Lógica Digital,Introdução à Lógica Digital
Atividades Acadêmicas Científicas e Culturais IV,Introdução a Sistemas de Informação,Eletrônica para Computação
 ,Algoritmos e Estruturas de Dados I,Prática em Sistemas Digitais
 ,Introdução à Ciência de Computação II,Sistemas Digitais
 ,Organização de Computadores Digitais,Modelagem Computacional em Grafos
 ,Algoritmos e Estruturas de Dados II,Algoritmos Avançados e Aplicações
 ,Programação Orientada a Objetos,Informação Profissional em Ciências da Computação
 ,Introdução à Teoria da Computação,Computação Gráfica
 ,Arquitetura de Computadores,Processos Estocásticos
 ,Sistemas Operacionais I,Programação Concorrente
 ,Prática e Gerenciamento de Projetos,Linguagens de Programação e Compiladores
 ,Modelagem da Organização,Introdução ao Desenvolvimento Web
 ,Gestão de Sistemas de Informação, 
 ,Evolução Histórica da Computação e Aplicações, 
 ,Análise e Projeto Orientados a Objetos, 
 ,Modelagem da Produção, 
 ,|Computadores, Sociedade e Ética Profissional|, 
 ,Estágio Supervisionado I, 
 ,Estágio Supervisionado II, 
 ,Interação Usuário-Computador, 
 ,Cálculo Numérico, 
 ,Bases de Dados, 
 ,Introdução à Pesquisa Operacional, 
 ,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
