Evolução Histórica da Computação e Aplicações,|Matrizes, Vetores e Geometria Analítica|,Introdução à Lógica e Verificação de Programas
Contabilidade para Computação,Matemática Discreta,Cálculo Diferencial e Integral II
Modelagem da Produção,Cálculo I,Álgebra Linear I
Fundamentos de Economia,Introdução à Estatística,Funções Diferenciáveis e Séries
|Computadores, Sociedade e Ética Profissional|,Análise e Projeto Orientados a Objetos,Integração na Universidade e na Profissão
Estágio Supervisionado I,Empreendedorismo,Caminhos no Bacharelado em Ciência da Computação
Estágio Supervisionado II,Introdução à Ciência de Computação I,Técnicas de Programação I
Introdução a Sistemas de Informação,Laboratório de Introdução à Ciência de Computação I,Conceitos Fundamentais de Linguagens de Programação
Programação Orientada a Objetos,Elementos de Lógica Digital,Modelagem e Simulação
Introdução à Teoria da Computação,Algoritmos e Estruturas de Dados I, 
Arquitetura de Computadores,Introdução à Ciência de Computação II, 
Prática e Gerenciamento de Projetos,Organização de Computadores Digitais, 
Modelagem da Organização,Algoritmos e Estruturas de Dados II, 
Gestão de Sistemas de Informação,Sistemas Operacionais I, 
Atividades Acadêmicas Científicas e Culturais I,Interação Usuário-Computador, 
Introdução à Pesquisa Operacional,Cálculo Numérico, 
Atividades Acadêmicas Científicas e Culturais II,Bases de Dados, 
Inteligência Artificial,Laboratório de Bases de Dados, 
Redes de Computadores,Engenharia de Software, 
Atividades Acadêmicas Científicas e Culturais III, , 
Engenharia de Segurança, , 
Atividades Acadêmicas Científicas e Culturais IV, , 
