Matemática Discreta,|Matrizes, Vetores e Geometria Analítica|,CALCULO A VARIAS VARIAVEIS I
Introdução à Estatística,Cálculo I,PROBABILIDADE E ESTATISTICA
Elementos de Lógica Digital,Introdução à Ciência de Computação I,EQUACOES DIFER E DE DIFERENCAS
Introdução a Sistemas de Informação,Laboratório de Introdução à Ciência de Computação I,ESTRUTURAS DISCRETAS
Arquitetura de Computadores,Algoritmos e Estruturas de Dados I,Mecânica Newtoniana
Prática e Gerenciamento de Projetos,Introdução à Ciência de Computação II,LAB DE MECANICA NEWTONIANA
Modelagem da Organização,Organização de Computadores Digitais,SEMANTICA DE LINGUAGENS
Gestão de Sistemas de Informação,Algoritmos e Estruturas de Dados II,ANALISE DE ALGORITMOS
Evolução Histórica da Computação e Aplicações,Programação Orientada a Objetos,COMPUTABILIDADE
Contabilidade para Computação,Introdução à Teoria da Computação,LOGICA PARA COMPUTACAO
Modelagem da Produção,Sistemas Operacionais I,O HUMANO E O FENOM RELIGIOSO
Fundamentos de Economia,Análise e Projeto Orientados a Objetos,ETICA CRISTA
Empreendedorismo,Interação Usuário-Computador,ETICA SOCIOAMBIENT DIR HUMANOS
|Computadores, Sociedade e Ética Profissional|,Cálculo Numérico,INTRODUCAO A PROGRAMACAO
Estágio Supervisionado I,Bases de Dados,MODELAGEM DE DADOS
Estágio Supervisionado II,Inteligência Artificial,PROGRAMACAO MODULAR
Atividades Acadêmicas Científicas e Culturais I,Laboratório de Bases de Dados,ENGENHARIA DE REQUISITOS
Introdução à Pesquisa Operacional,Engenharia de Software,COMPILADORES
Atividades Acadêmicas Científicas e Culturais II,Redes de Computadores,ESPEC/ANAL FORMAL DE SISTEMAS
Atividades Acadêmicas Científicas e Culturais III, , 
Engenharia de Segurança, , 
Atividades Acadêmicas Científicas e Culturais IV, , 
