Matemática Discreta,|Matrizes, Vetores e Geometria Analítica|,CALCULO A VARIAS VARIAVEIS I
Introdução à Estatística,Cálculo I,PROBABILIDADE E ESTATISTICA
Evolução Histórica da Computação e Aplicações,Análise e Projeto Orientados a Objetos,EQUACOES DIFER E DE DIFERENCAS
Contabilidade para Computação,Introdução à Ciência de Computação I,ESTRUTURAS DISCRETAS
Modelagem da Produção,Laboratório de Introdução à Ciência de Computação I,LOGICA PARA COMPUTACAO
Fundamentos de Economia,Algoritmos e Estruturas de Dados I,O HUMANO E O FENOM RELIGIOSO
Empreendedorismo,Introdução à Ciência de Computação II,ETICA CRISTA
|Computadores, Sociedade e Ética Profissional|,Organização de Computadores Digitais,ETICA SOCIOAMBIENT DIR HUMANOS
Estágio Supervisionado I,Algoritmos e Estruturas de Dados II,SEMANTICA DE LINGUAGENS
Estágio Supervisionado II,Programação Orientada a Objetos,ANALISE DE ALGORITMOS
Elementos de Lógica Digital,Introdução à Teoria da Computação,COMPUTABILIDADE
Introdução a Sistemas de Informação,Sistemas Operacionais I,INTRODUCAO A PROGRAMACAO
Arquitetura de Computadores,Interação Usuário-Computador,MODELAGEM DE DADOS
Prática e Gerenciamento de Projetos,Cálculo Numérico,PROGRAMACAO MODULAR
Modelagem da Organização,Bases de Dados,ENGENHARIA DE REQUISITOS
Gestão de Sistemas de Informação,Inteligência Artificial,COMPILADORES
Atividades Acadêmicas Científicas e Culturais I,Laboratório de Bases de Dados,ESPEC/ANAL FORMAL DE SISTEMAS
Introdução à Pesquisa Operacional,Engenharia de Software,Mecânica Newtoniana
Atividades Acadêmicas Científicas e Culturais II,Redes de Computadores,LAB DE MECANICA NEWTONIANA
Atividades Acadêmicas Científicas e Culturais III, , 
Engenharia de Segurança, , 
Atividades Acadêmicas Científicas e Culturais IV, , 
