Elementos de Lógica Digital,|Matrizes, Vetores e Geometria Analítica|,Matemática Discreta (CC)
Introdução a Sistemas de Informação,Matemática Discreta,Cálculo B (CC)
Modelagem da Organização,Cálculo I,Fundamentos de Programação
Gestão de Sistemas de Informação,Introdução à Estatística,Fundamentos do Raciocínio Lógico
Contabilidade para Computação,Introdução à Ciência de Computação I,Matemática Concreta
Análise e Projeto Orientados a Objetos,Laboratório de Introdução à Ciência de Computação I,Algoritmos e Estrutura de Dados II
Fundamentos de Economia,Algoritmos e Estruturas de Dados I,Programação Funcional
|Computadores, Sociedade e Ética Profissional|,Introdução à Ciência de Computação II,Teoria da Computabilidade e Complexidade
Estágio Supervisionado I,Organização de Computadores Digitais,Organização e Arquitetura de Computadores II
Estágio Supervisionado II,Algoritmos e Estruturas de Dados II,Disciplina Integradora I (Lógica e Programação)
Cálculo Numérico,Programação Orientada a Objetos,Métodos Formais para Computação
Atividades Acadêmicas Científicas e Culturais I,Introdução à Teoria da Computação,Engenharia de Software Orientada a Modelos
Introdução à Pesquisa Operacional,Arquitetura de Computadores,Metodologia Científica e Escrita para Computação
Atividades Acadêmicas Científicas e Culturais II,Sistemas Operacionais I,Humanismo e Cultura Religiosa
Atividades Acadêmicas Científicas e Culturais III,Prática e Gerenciamento de Projetos,Empreendimentos Empresariais
Atividades Acadêmicas Científicas e Culturais IV,Evolução Histórica da Computação e Aplicações,Ética e Filosofia da Ciência
 ,Modelagem da Produção,Programação de Baixo Nível
 ,Empreendedorismo,Técnicas de Programação
 ,Interação Usuário-Computador,Modelos para Computação Concorrente
 ,Bases de Dados,Métodos Numéricos
 ,Inteligência Artificial,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,Laboratório de Bases de Dados,Laboratório de Sistemas Operacionais
 ,Engenharia de Software,Implementação de Sistemas de Bancos de Dados
 ,Redes de Computadores,Interpretação de Linguagens de Programação
 ,Engenharia de Segurança,Laboratório de Redes de Computadores
 , ,Projeto e Implementação de Sistemas Interativos
 , ,Construção de Compiladores
 , ,Simulação e Métodos Analíticos
 , ,Redes de Computadores Avançada
 , ,Sistemas Inteligentes e Autônomos
 , ,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
 , ,Disciplina Integradora IV - Trabalho de Conclusão
