Fundamentos de Economia,|Matrizes, Vetores e Geometria Analítica|,Álgebra Linear
Laboratório de Introdução à Ciência de Computação I,Matemática Discreta,Análise Combinatória
Elementos de Lógica Digital,Cálculo I,Equações Diferenciais
Programação Orientada a Objetos,Introdução à Estatística,Matemática Discreta
Atividades Acadêmicas Científicas e Culturais I,Evolução Histórica da Computação e Aplicações,Comunicação e Expressão
Atividades Acadêmicas Científicas e Culturais II,Contabilidade para Computação,Direito e Legislação
Atividades Acadêmicas Científicas e Culturais III,Análise e Projeto Orientados a Objetos,Economia
Engenharia de Segurança,Modelagem da Produção,Filosofia
Atividades Acadêmicas Científicas e Culturais IV,Empreendedorismo,Inglês
 ,|Computadores, Sociedade e Ética Profissional|,Sociologia
 ,Estágio Supervisionado I,Psicologia
 ,Estágio Supervisionado II,Circuitos Eletrônicos
 ,Introdução à Ciência de Computação I,Análise de Algoritmos
 ,Introdução a Sistemas de Informação,Circuitos Digitais
 ,Algoritmos e Estruturas de Dados I,Organização de Arquivos e Dados
 ,Introdução à Ciência de Computação II,Análise de Desempenho
 ,Organização de Computadores Digitais,Circuitos Integrados
 ,Algoritmos e Estruturas de Dados II,Compiladores
 ,Introdução à Teoria da Computação,Computação Gráfica
 ,Arquitetura de Computadores,Automação e Controle
 ,Sistemas Operacionais I,Métodos Formais
 ,Prática e Gerenciamento de Projetos,Modelagem e Simulação
 ,Modelagem da Organização,Processamento Digital de Sinais
 ,Gestão de Sistemas de Informação,Processamento de Imagens
 ,Interação Usuário-Computador,Programação Paralela
 ,Cálculo Numérico,Segurança e Auditoria de Sistemas
 ,Bases de Dados,Sistemas Digitais
 ,Introdução à Pesquisa Operacional,Sistemas Distribuídos
 ,Inteligência Artificial,Sistemas Embarcados
 ,Laboratório de Bases de Dados,Sistemas Multimídia
 ,Engenharia de Software,Tolerância a Falhas
 ,Redes de Computadores,Telecomunicações
 , ,Física
