Matemática Discreta,|Matrizes, Vetores e Geometria Analítica|,CÁLCULO 1
Contabilidade para Computação,Cálculo I,LÓGICA MATEMÁTICA
Fundamentos de Economia,Introdução à Estatística,TÓPICOS 1
Estágio Supervisionado I,Evolução Histórica da Computação e Aplicações,DIREITO
Estágio Supervisionado II,Análise e Projeto Orientados a Objetos,EMPREENDEDORISMO
Introdução a Sistemas de Informação,Modelagem da Produção,TÓPICOS 2
Gestão de Sistemas de Informação,Empreendedorismo,TEORIA DOS GRAFOS
Atividades Acadêmicas Científicas e Culturais I,|Computadores, Sociedade e Ética Profissional|,LINGUAGENS DE PROGRAMAÇÃO
Atividades Acadêmicas Científicas e Culturais II,Introdução à Ciência de Computação I,SISTEMAS OPERACIONAIS 1
Atividades Acadêmicas Científicas e Culturais III,Laboratório de Introdução à Ciência de Computação I,TEORIA DA COMPUTAÇÃO
Engenharia de Segurança,Elementos de Lógica Digital,PROGRAMAÇÃO DE COMPUTADORES 1 CN
Atividades Acadêmicas Científicas e Culturais IV,Algoritmos e Estruturas de Dados I,FÍSICA PARA COMPUTAÇÃO
 ,Introdução à Ciência de Computação II,BANCO DE DADOS
 ,Organização de Computadores Digitais,REDES DE COMPUTADORES 2
 ,Algoritmos e Estruturas de Dados II,SISTEMAS DISTRIBUÍDOS
 ,Programação Orientada a Objetos,COMPILADORES
 ,Introdução à Teoria da Computação,COMPUTAÇÃO GRÁFICA
 ,Arquitetura de Computadores,PROJETO FINAL DE CURSO 1
 ,Sistemas Operacionais I,MULTIMÍDIA
 ,Prática e Gerenciamento de Projetos,PROJETO FINAL DE CURSO 2
 ,Modelagem da Organização,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Interação Usuário-Computador, 
 ,Cálculo Numérico, 
 ,Bases de Dados, 
 ,Introdução à Pesquisa Operacional, 
 ,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
