|Matrizes, Vetores e Geometria Analítica|,Matemática Discreta,INGLES PARA COMPUTACAO
Contabilidade para Computação,Cálculo I,HISTORIA E FUTURO DA COMPUTACAO
Análise e Projeto Orientados a Objetos,Introdução à Estatística,METODOL EXPRESSAO TEC-CIENTIFICA
Fundamentos de Economia,Evolução Histórica da Computação e Aplicações,ALGEBRA VET LINEAR P/COMPUTACAO
Estágio Supervisionado I,Modelagem da Produção,FISICA PARA COMPUTACAO
Estágio Supervisionado II,Empreendedorismo,PARADIGMAS LING.COMPUTACIONAIS
Introdução a Sistemas de Informação,|Computadores, Sociedade e Ética Profissional|,INTRODUCAO A COMPUTACAO
Programação Orientada a Objetos,Introdução à Ciência de Computação I,INFRA-ESTRUTURA DE HARDWARE
Introdução à Teoria da Computação,Laboratório de Introdução à Ciência de Computação I,INTERFACES USUARIO-MAQUINA
Prática e Gerenciamento de Projetos,Elementos de Lógica Digital,PROCESSAMENTO GRAFICO
Gestão de Sistemas de Informação,Algoritmos e Estruturas de Dados I,INTRODUÇÃO A MULTIMIDIA
Interação Usuário-Computador,Introdução à Ciência de Computação II,PROJETO DE DESENVOLVIMENTO
Cálculo Numérico,Organização de Computadores Digitais, 
Atividades Acadêmicas Científicas e Culturais I,Algoritmos e Estruturas de Dados II, 
Bases de Dados,Arquitetura de Computadores, 
Atividades Acadêmicas Científicas e Culturais II,Sistemas Operacionais I, 
Atividades Acadêmicas Científicas e Culturais III,Modelagem da Organização, 
Engenharia de Segurança,Introdução à Pesquisa Operacional, 
Atividades Acadêmicas Científicas e Culturais IV,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
