Elementos de Lógica Digital,Introdução à Ciência de Computação I,Circuitos Lógicos
Programação Orientada a Objetos,Laboratório de Introdução à Ciência de Computação I,Projetos Digitais e Microprocessadores
Prática e Gerenciamento de Projetos,Introdução a Sistemas de Informação,Algoritmos e Estruturas de Dados III
Gestão de Sistemas de Informação,Algoritmos e Estruturas de Dados I,Software Básico
Cálculo Numérico,Introdução à Ciência de Computação II,Algoritmos e Teoria dos Grafos
Atividades Acadêmicas Científicas e Culturais I,Organização de Computadores Digitais,Introdução a Teoria Geral da Administração
Introdução à Pesquisa Operacional,Algoritmos e Estruturas de Dados II,Técnicas Alternativas de Programação
Atividades Acadêmicas Científicas e Culturais II,Introdução à Teoria da Computação,Estatística II
Inteligência Artificial,Arquitetura de Computadores,Introdução à Computação Científica
Atividades Acadêmicas Científicas e Culturais III,Sistemas Operacionais I,Inteligência Artificial
Fundamentos de Economia,Modelagem da Organização,Sistemas de Bancos de Dados
Atividades Acadêmicas Científicas e Culturais IV,Interação Usuário-Computador,Construção de Compiladores
Evolução Histórica da Computação e Aplicações,Bases de Dados,Introdução a Álbebra
Contabilidade para Computação,Laboratório de Bases de Dados,Metodologia Científica
|Computadores, Sociedade e Ética Profissional|,Modelagem da Produção,Geometria Analítica I
Estágio Supervisionado I,Engenharia de Software,Cálculo Diferencial e Integral II
Estágio Supervisionado II,Redes de Computadores, 
 ,Engenharia de Segurança, 
 ,Análise e Projeto Orientados a Objetos, 
 ,Empreendedorismo, 
 ,|Matrizes, Vetores e Geometria Analítica|, 
 ,Matemática Discreta, 
 ,Cálculo I, 
 ,Introdução à Estatística, 
