Evolução Histórica da Computação e Aplicações,|Matrizes, Vetores e Geometria Analítica|,FUNDAMENTOS DE ALGORITMOS
Fundamentos de Economia,Matemática Discreta,CÁLCULO E GEOMETRIA ANALÍTICA II - A
|Computadores, Sociedade e Ética Profissional|,Cálculo I,LÓGICA PARA COMPUTAÇÃO
Estágio Supervisionado I,Introdução à Estatística,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Estágio Supervisionado II,Contabilidade para Computação,SEMÂNTICA FORMAL N
Introdução a Sistemas de Informação,Análise e Projeto Orientados a Objetos,EMPREENDIMENTO EM INFORMÁTICA
Introdução à Ciência de Computação II,Modelagem da Produção,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
Programação Orientada a Objetos,Empreendedorismo,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Prática e Gerenciamento de Projetos,Introdução à Ciência de Computação I,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Atividades Acadêmicas Científicas e Culturais I,Laboratório de Introdução à Ciência de Computação I,CLASSIFICAÇÃO E PESQUISA DE DADOS
Atividades Acadêmicas Científicas e Culturais II,Elementos de Lógica Digital,TEORIA DA COMPUTAÇÃO N
Atividades Acadêmicas Científicas e Culturais III,Algoritmos e Estruturas de Dados I,COMPLEXIDADE DE ALGORITMOS - B
Engenharia de Segurança,Organização de Computadores Digitais,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
Atividades Acadêmicas Científicas e Culturais IV,Algoritmos e Estruturas de Dados II,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,Introdução à Teoria da Computação,COMPILADORES
 ,Arquitetura de Computadores,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,Sistemas Operacionais I,SISTEMAS OPERACIONAIS II N
 ,Modelagem da Organização, 
 ,Gestão de Sistemas de Informação, 
 ,Interação Usuário-Computador, 
 ,Cálculo Numérico, 
 ,Bases de Dados, 
 ,Introdução à Pesquisa Operacional, 
 ,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
