Contabilidade para Computação,|Matrizes, Vetores e Geometria Analítica|,Cálculo B para Computação
Fundamentos de Economia,Matemática Discreta,Álgebra Linear
Estágio Supervisionado I,Cálculo I,|Ciência, Tecnologia e Sociedade|
Estágio Supervisionado II,Introdução à Estatística,Trabalho de Conclusão de Curso I (TCC)
Introdução a Sistemas de Informação,Evolução Histórica da Computação e Aplicações,Trabalho de Conclusão de Curso II (TCC)
Arquitetura de Computadores,Análise e Projeto Orientados a Objetos,Sistemas Digitais
Gestão de Sistemas de Informação,Modelagem da Produção,Grafos
Atividades Acadêmicas Científicas e Culturais I,Empreendedorismo,Paradigmas de Programação
Introdução à Pesquisa Operacional,|Computadores, Sociedade e Ética Profissional|,Banco de Dados I
Atividades Acadêmicas Científicas e Culturais II,Introdução à Ciência de Computação I,Sistemas Multimídia
Atividades Acadêmicas Científicas e Culturais III,Laboratório de Introdução à Ciência de Computação I,Programação Orientada a Objetos II
Atividades Acadêmicas Científicas e Culturais IV,Elementos de Lógica Digital,Programação Concorrente
 ,Algoritmos e Estruturas de Dados I,Computação Distribuída
 ,Introdução à Ciência de Computação II,Computação Gráfica
 ,Organização de Computadores Digitais,Redes de Computadores II
 ,Algoritmos e Estruturas de Dados II,Modelagem e Simulação
 ,Programação Orientada a Objetos,Construção de Compiladores
 ,Introdução à Teoria da Computação,Banco de Dados II
 ,Sistemas Operacionais I, 
 ,Prática e Gerenciamento de Projetos, 
 ,Modelagem da Organização, 
 ,Interação Usuário-Computador, 
 ,Cálculo Numérico, 
 ,Bases de Dados, 
 ,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Engenharia de Segurança, 
