Contabilidade para Computação,|Matrizes, Vetores e Geometria Analítica|,Algebra 1
Análise e Projeto Orientados a Objetos,Matemática Discreta,Lógica Computacional 1
Modelagem da Produção,Cálculo I,SOFTWARE BASICO
Fundamentos de Economia,Introdução à Estatística,Computação Experimental
Empreendedorismo,Evolução Histórica da Computação e Aplicações,INFORMATICA E SOCIEDADE
|Computadores, Sociedade e Ética Profissional|,Introdução à Ciência de Computação I,Trabalho de Graduação 1
Estágio Supervisionado I,Laboratório de Introdução à Ciência de Computação I,Trabalho de Graduação 2
Estágio Supervisionado II,Elementos de Lógica Digital,Fundamentos de Sistemas Operacionais
Introdução a Sistemas de Informação,Algoritmos e Estruturas de Dados I,Organização de Arquivos
Programação Orientada a Objetos,Introdução à Ciência de Computação II,SISTEMAS DE INFORMACAO
Sistemas Operacionais I,Organização de Computadores Digitais,Teoria e Aplicação de Grafos
Prática e Gerenciamento de Projetos,Algoritmos e Estruturas de Dados II,BANCOS DE DADOS
Modelagem da Organização,Introdução à Teoria da Computação,CALCULO NUMERICO
Gestão de Sistemas de Informação,Arquitetura de Computadores,Compiladores
Interação Usuário-Computador,Cálculo Numérico,INTRODUCAO A INTELIGENCIA ARTIFICIAL
Atividades Acadêmicas Científicas e Culturais I,Bases de Dados,Metodologia Científica
Atividades Acadêmicas Científicas e Culturais II,Introdução à Pesquisa Operacional,Programação Concorrente
Atividades Acadêmicas Científicas e Culturais III,Inteligência Artificial,Segurança Computacional
Engenharia de Segurança,Laboratório de Bases de Dados,Tecnicas de Programação 1
Atividades Acadêmicas Científicas e Culturais IV,Engenharia de Software,Tecnicas de Programação 2
 ,Redes de Computadores, 
