Matemática Discreta,|Matrizes, Vetores e Geometria Analítica|,Geometria Analítica
Evolução Histórica da Computação e Aplicações,Cálculo I,Lógica Computacional
Análise e Projeto Orientados a Objetos,Introdução à Estatística,Cálculo II
Fundamentos de Economia,Contabilidade para Computação,Cálculo IV
|Computadores, Sociedade e Ética Profissional|,Modelagem da Produção,|Direito, Legislação e Ética|
Estágio Supervisionado I,Empreendedorismo,Projeto e Implementação de Sistemas I 12
Estágio Supervisionado II,Introdução à Ciência de Computação I,Empreendedorismo
Introdução a Sistemas de Informação,Laboratório de Introdução à Ciência de Computação I,Dispositivos e Circuitos Eletrônicos
Programação Orientada a Objetos,Elementos de Lógica Digital,Metodologia da Pesquisa Científica
Gestão de Sistemas de Informação,Algoritmos e Estruturas de Dados I,Linguagem de Montagem
Atividades Acadêmicas Científicas e Culturais I,Introdução à Ciência de Computação II,Circuitos Digitais
Atividades Acadêmicas Científicas e Culturais II,Organização de Computadores Digitais,Estruturas de Dados II
Atividades Acadêmicas Científicas e Culturais III,Algoritmos e Estruturas de Dados II,Compiladores
Atividades Acadêmicas Científicas e Culturais IV,Introdução à Teoria da Computação,Microcontroladores
 ,Arquitetura de Computadores,Computação Gráfica
 ,Sistemas Operacionais I,Banco de Dados II
 ,Prática e Gerenciamento de Projetos,Projeto e Implementação de Sistemas II
 ,Modelagem da Organização,Laboratório de Mecânica Aplicada
 ,Interação Usuário-Computador,Sistemas Operacionais I
 ,Cálculo Numérico,Projeto de Redes de Computadores
 ,Bases de Dados, 
 ,Introdução à Pesquisa Operacional, 
 ,Inteligência Artificial, 
 ,Laboratório de Bases de Dados, 
 ,Engenharia de Software, 
 ,Redes de Computadores, 
 ,Engenharia de Segurança, 
