Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,CALCULO A VARIAS VARIAVEIS I
Introdução à Lógica e Verificação de Programas,Cálculo Diferencial e Integral I,PROBABILIDADE E ESTATISTICA
Introdução à Probabilidade e à Estatística,Vetores e Geometria,EQUACOES DIFER E DE DIFERENCAS
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral II,ESTRUTURAS DISCRETAS
Caminhos no Bacharelado em Ciência da Computação,Álgebra Linear I,Mecânica Newtoniana
Língua Portuguesa,Funções Diferenciáveis e Séries,LAB DE MECANICA NEWTONIANA
Modelagem e Simulação,Introdução à Computação,ESTRUTURAS DE DADOS AVANCADAS
 ,Algoritmos e Estruturas de Dados I,SOFTWARE BASICO
 ,Técnicas de Programação I,LING FORMAIS E AUTOMATOS
 ,Algoritmos e Estruturas de Dados II,SEMANTICA DE LINGUAGENS
 ,Conceitos Fundamentais de Linguagens de Programação,COMPUTABILIDADE
 ,Análise de Algoritmos,LOGICA PARA COMPUTACAO
 ,Sistemas Operacionais,O HUMANO E O FENOM RELIGIOSO
 ,Laboratório de Métodos Numéricos,ETICA CRISTA
 ,Introdução ao Desenvolvimento de Sistemas de Software,ETICA SOCIOAMBIENT DIR HUMANOS
 , ,INTR INT HUMANO-COMPUTADOR
 , ,MODELAGEM DE DADOS
 , ,PROGRAMACAO MODULAR
 , ,BANCOS DE DADOS
 , ,ENGENHARIA DE REQUISITOS
 , ,COMPILADORES
 , ,REDES DE COMUNICACAO DE DADOS
 , ,INTELIGENCIA ARTIFICIAL
 , ,TESTE DE SOFTWARE
