Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,CALCULO A VARIAS VARIAVEIS I
Introdução à Lógica e Verificação de Programas,Cálculo Diferencial e Integral I,PROBABILIDADE E ESTATISTICA
Introdução à Probabilidade e à Estatística,Vetores e Geometria,EQUACOES DIFER E DE DIFERENCAS
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral II,ESTRUTURAS DISCRETAS
Caminhos no Bacharelado em Ciência da Computação,Álgebra Linear I,LOGICA PARA COMPUTACAO
Língua Portuguesa,Funções Diferenciáveis e Séries,O HUMANO E O FENOM RELIGIOSO
Modelagem e Simulação,Introdução à Computação,ETICA CRISTA
 ,Algoritmos e Estruturas de Dados I,ETICA SOCIOAMBIENT DIR HUMANOS
 ,Técnicas de Programação I,ESTRUTURAS DE DADOS AVANCADAS
 ,Algoritmos e Estruturas de Dados II,SOFTWARE BASICO
 ,Conceitos Fundamentais de Linguagens de Programação,LING FORMAIS E AUTOMATOS
 ,Análise de Algoritmos,SEMANTICA DE LINGUAGENS
 ,Sistemas Operacionais,COMPUTABILIDADE
 ,Laboratório de Métodos Numéricos,INTR INT HUMANO-COMPUTADOR
 ,Introdução ao Desenvolvimento de Sistemas de Software,MODELAGEM DE DADOS
 , ,PROGRAMACAO MODULAR
 , ,BANCOS DE DADOS
 , ,ENGENHARIA DE REQUISITOS
 , ,COMPILADORES
 , ,REDES DE COMUNICACAO DE DADOS
 , ,INTELIGENCIA ARTIFICIAL
 , ,TESTE DE SOFTWARE
 , ,Mecânica Newtoniana
 , ,LAB DE MECANICA NEWTONIANA
