Introdução à Probabilidade e à Estatística,Fundamentos de Matemática para a Computação,Matemática Discreta (CC)
Língua Portuguesa,Álgebra Booleana e Circuitos Digitais,Lógica para Computação
Modelagem e Simulação,Cálculo Diferencial e Integral I,Probabilidade e Estatística para Computação
 ,Vetores e Geometria,Fundamentos do Raciocínio Lógico
 ,Introdução à Lógica e Verificação de Programas,Programação Orientada a Objetos
 ,Cálculo Diferencial e Integral II,Linguagens Formais e Autômatos
 ,Álgebra Linear I,Programação Funcional
 ,Funções Diferenciáveis e Séries,Teoria da Computabilidade e Complexidade
 ,Introdução à Computação,Organização e Arquitetura de Computadores II
 ,Algoritmos e Estruturas de Dados I,Disciplina Integradora I (Lógica e Programação)
 ,Técnicas de Programação I,Engenharia de Software Orientada a Modelos
 ,Algoritmos e Estruturas de Dados II,Metodologia Científica e Escrita para Computação
 ,Conceitos Fundamentais de Linguagens de Programação,Humanismo e Cultura Religiosa
 ,Análise de Algoritmos,Empreendimentos Empresariais
 ,Sistemas Operacionais,Ética e Filosofia da Ciência
 ,Integração na Universidade e na Profissão,Programação de Baixo Nível
 ,Caminhos no Bacharelado em Ciência da Computação,Engenharia de Software
 ,Laboratório de Métodos Numéricos,Fundamentos de Bancos de Dados
 ,Introdução ao Desenvolvimento de Sistemas de Software,Modelos para Computação Concorrente
 , ,Fundamentos de Computação Gráfica
 , ,Disciplina Integradora II (Iniciação Científica)
 , ,Disciplina Integradora III (Especificação e Construção de Sistemas)
 , ,Fundamentos de Inteligência Artificial
 , ,Laboratório de Sistemas Operacionais
 , ,Introdução à Redes de Computadores
 , ,Implementação de Sistemas de Bancos de Dados
 , ,Interpretação de Linguagens de Programação
 , ,Laboratório de Redes de Computadores
 , ,Computação Paralela
 , ,Projeto e Implementação de Sistemas Interativos
 , ,Construção de Compiladores
 , ,Simulação e Métodos Analíticos
 , ,Redes de Computadores Avançada
 , ,Sistemas Inteligentes e Autônomos
 , ,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
