Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,Análise Combinatória
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral I,Equações Diferenciais
Caminhos no Bacharelado em Ciência da Computação,Vetores e Geometria,Administração
Modelagem e Simulação,Introdução à Lógica e Verificação de Programas,Computadores e Sociedade
 ,Introdução à Probabilidade e à Estatística,Comunicação e Expressão
 ,Cálculo Diferencial e Integral II,Contabilidade e Custos
 ,Álgebra Linear I,Direito e Legislação
 ,Funções Diferenciáveis e Séries,Economia
 ,Língua Portuguesa,Empreendedorismo
 ,Introdução à Computação,Estágio
 ,Algoritmos e Estruturas de Dados I,Filosofia
 ,Técnicas de Programação I,Informática na Educação
 ,Algoritmos e Estruturas de Dados II,Métodos Quantitativos Aplicados à Administração de Empresas
 ,Conceitos Fundamentais de Linguagens de Programação,Sociologia
 ,Análise de Algoritmos,Psicologia
 ,Sistemas Operacionais,Circuitos Eletrônicos
 ,Laboratório de Métodos Numéricos,Análise de Algoritmos
 ,Introdução ao Desenvolvimento de Sistemas de Software,Circuitos Digitais
 , ,Fundamentos de Sistemas
 , ,Organização de Arquivos e Dados
 , ,Análise de Desempenho
 , ,Bancos de Dados
 , ,Circuitos Integrados
 , ,Compiladores
 , ,Computação Gráfica
 , ,Automação e Controle
 , ,Inteligência Artificial
 , ,Interação Humano-Computador
 , ,Métodos Formais
 , ,Modelagem e Simulação
 , ,Processamento Digital de Sinais
 , ,Processamento de Imagens
 , ,Programação Paralela
 , ,Redes de Computadores
 , ,Segurança e Auditoria de Sistemas
 , ,Sistemas Digitais
 , ,Sistemas Distribuídos
 , ,Sistemas Embarcados
 , ,Sistemas Multimídia
 , ,Tolerância a Falhas
 , ,Telecomunicações
 , ,Física
