Funções Diferenciáveis e Séries,Fundamentos de Matemática para a Computação,CÁLCULO 2
Integração na Universidade e na Profissão,Álgebra Booleana e Circuitos Digitais,TÓPICOS 1
Caminhos no Bacharelado em Ciência da Computação,Cálculo Diferencial e Integral I,DIREITO
Língua Portuguesa,Vetores e Geometria,COMPUTADOR E SOCIEDADE
Modelagem e Simulação,Introdução à Lógica e Verificação de Programas,EMPREENDEDORISMO
Laboratório de Métodos Numéricos,Introdução à Probabilidade e à Estatística,TÓPICOS 2
 ,Cálculo Diferencial e Integral II,PROGRAMAÇÃO DE COMPUTADORES 2 CN
 ,Álgebra Linear I,TEORIA DOS GRAFOS
 ,Introdução à Computação,SISTEMAS OPERACIONAIS 1
 ,Algoritmos e Estruturas de Dados I,LINGUAGENS FORMAIS E AUTÔMATOS
 ,Técnicas de Programação I,TEORIA DA COMPUTAÇÃO
 ,Algoritmos e Estruturas de Dados II,PROGRAMAÇÃO DE COMPUTADORES 1 CN
 ,Conceitos Fundamentais de Linguagens de Programação,FÍSICA PARA COMPUTAÇÃO
 ,Análise de Algoritmos,PROGRAMAÇÃO ORIENTADA A OBJETOS
 ,Sistemas Operacionais,PESQUISA OPERACIONAL
 ,Introdução ao Desenvolvimento de Sistemas de Software,ENGENHARIA DE SOFTWARE
 , ,INTELIGÊNCIA ARTIFICIAL
 , ,REDES DE COMPUTADORES 1
 , ,SISTEMAS GERENCIADORES DE BD
 , ,ENGENHARIA DE REQUISITOS
 , ,REDES DE COMPUTADORES 2
 , ,SISTEMAS DISTRIBUÍDOS
 , ,COMPILADORES
 , ,COMPUTAÇÃO GRÁFICA
 , ,PROJETO DE SOFTWARE
 , ,PROJETO FINAL DE CURSO 1
 , ,MULTIMÍDIA
 , ,PROJETO FINAL DE CURSO 2
 , ,SEGURANÇA E AUDITORIA DE SISTEMAS
