Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,MATEMAT DISCRETA P/COMPUTACAO
Vetores e Geometria,Cálculo Diferencial e Integral I,ESTATIST PROBABILIDADE COMPUTACAO
Introdução à Lógica e Verificação de Programas,Cálculo Diferencial e Integral II,LOGICA PARA COMPUTACAO
Introdução à Probabilidade e à Estatística,Introdução à Computação,INFORMATICA E SOCIEDADE
Álgebra Linear I,Algoritmos e Estruturas de Dados I,INGLES PARA COMPUTACAO
Funções Diferenciáveis e Séries,Técnicas de Programação I,HISTORIA E FUTURO DA COMPUTACAO
Integração na Universidade e na Profissão,Algoritmos e Estruturas de Dados II,METODOL EXPRESSAO TEC-CIENTIFICA
Caminhos no Bacharelado em Ciência da Computação,Conceitos Fundamentais de Linguagens de Programação,ALGEBRA VET LINEAR P/COMPUTACAO
Língua Portuguesa,Análise de Algoritmos,FISICA PARA COMPUTACAO
Modelagem e Simulação,Sistemas Operacionais,INTRODUCAO A COMPUTACAO
Laboratório de Métodos Numéricos,Introdução ao Desenvolvimento de Sistemas de Software,INFRA-ESTRUTURA DE COMUNICACAO
 , ,INFRA-ESTRUTURA DE HARDWARE
 , ,ENGENHARIA SOFTWARE E SISTEMAS
 , ,INTERFACES USUARIO-MAQUINA
 , ,SISTEMAS INTELIGENTES
 , ,INTRODUÇÃO A MULTIMIDIA
 , ,PROJETO DE DESENVOLVIMENTO
 , ,TEO.IMPLEMEN.LING. COMPUTACIONAIS
