Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,Geometria Analítica I
Introdução à Lógica e Verificação de Programas,Cálculo Diferencial e Integral I,Cálculo Diferencial e Integral II
Introdução à Probabilidade e à Estatística,Vetores e Geometria,Matemática Discreta
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral II,Introdução a Álbebra
Caminhos no Bacharelado em Ciência da Computação,Álgebra Linear I,Projetos Digitais e Microprocessadores
Língua Portuguesa,Funções Diferenciáveis e Séries,Organização e Arquitetura de Computadores
Sistemas Operacionais,Introdução à Computação,Algoritmos e Estruturas de Dados III
Laboratório de Métodos Numéricos,Algoritmos e Estruturas de Dados I,Software Básico
 ,Técnicas de Programação I,Algoritmos e Teoria dos Grafos
 ,Algoritmos e Estruturas de Dados II,Introdução à Teoria da Computação
 ,Conceitos Fundamentais de Linguagens de Programação,Introdução a Teoria Geral da Administração
 ,Análise de Algoritmos,Teoria de Sistemas
 ,Modelagem e Simulação,Oficina de Computação
 ,Introdução ao Desenvolvimento de Sistemas de Software,Sistemas Operacionais
 , ,Estatística II
 , ,Redes de Computadores I
 , ,Introdução à Computação Científica
 , ,Engenharia de Requisitos
 , ,Redes de Computadores II
 , ,Projeto de Software
 , ,Inteligência Artificial
 , ,Sistemas de Bancos de Dados
 , ,Engenharia de Software
