Introdução à Lógica e Verificação de Programas,Fundamentos de Matemática para a Computação,FUNDAMENTOS DE ALGORITMOS
Funções Diferenciáveis e Séries,Álgebra Booleana e Circuitos Digitais,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral I,LÓGICA PARA COMPUTAÇÃO
Caminhos no Bacharelado em Ciência da Computação,Vetores e Geometria,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Língua Portuguesa,Introdução à Probabilidade e à Estatística,SEMÂNTICA FORMAL N
 ,Cálculo Diferencial e Integral II,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
 ,Álgebra Linear I,EMPREENDIMENTO EM INFORMÁTICA
 ,Introdução à Computação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
 ,Algoritmos e Estruturas de Dados I,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
 ,Técnicas de Programação I,CLASSIFICAÇÃO E PESQUISA DE DADOS
 ,Algoritmos e Estruturas de Dados II,LINGUAGENS FORMAIS E AUTÔMATOS N
 ,Conceitos Fundamentais de Linguagens de Programação,TEORIA DA COMPUTAÇÃO N
 ,Análise de Algoritmos,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,Sistemas Operacionais,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Modelagem e Simulação,ORGANIZAÇÃO DE COMPUTADORES B
 ,Laboratório de Métodos Numéricos,ENGENHARIA DE SOFTWARE N
 ,Introdução ao Desenvolvimento de Sistemas de Software,INTELIGÊNCIA ARTIFICIAL
 , ,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 , ,OTIMIZAÇÃO COMBINATÓRIA
 , ,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 , ,INTERAÇÃO HOMEM-COMPUTADOR
 , ,REDES DE COMPUTADORES N
 , ,SISTEMAS OPERACIONAIS II N
