Introdução à Lógica e Verificação de Programas,Fundamentos de Matemática para a Computação,Calculo A
Funções Diferenciáveis e Séries,Álgebra Booleana e Circuitos Digitais,|Ciência, Tecnologia e Sociedade|
Integração na Universidade e na Profissão,Cálculo Diferencial e Integral I,Planejamento e Gestão de Projetos
Caminhos no Bacharelado em Ciência da Computação,Vetores e Geometria,Informática e Sociedade
Língua Portuguesa,Introdução à Probabilidade e à Estatística,Trabalho de Conclusão de Curso I (TCC)
Modelagem e Simulação,Cálculo Diferencial e Integral II,Trabalho de Conclusão de Curso II (TCC)
 ,Álgebra Linear I,Circuitos e Técnicas Digitais
 ,Introdução à Computação,Sistemas Digitais
 ,Algoritmos e Estruturas de Dados I,Organização de Computadores I
 ,Técnicas de Programação I,Grafos
 ,Algoritmos e Estruturas de Dados II,Teoria da Computação
 ,Conceitos Fundamentais de Linguagens de Programação,Paradigmas de Programação
 ,Análise de Algoritmos,Linguagens Formais e Compiladores
 ,Sistemas Operacionais,Banco de Dados I
 ,Laboratório de Métodos Numéricos,Sistemas Multimídia
 ,Introdução ao Desenvolvimento de Sistemas de Software,Introdução à Computação
 , ,Programação Orientada a Objetos II
 , ,Programação Concorrente
 , ,Redes de Computadores I
 , ,Engenharia de Software I
 , ,Computação Distribuída
 , ,Engenharia de Software II
 , ,Computação Gráfica
 , ,Redes de Computadores II
 , ,Modelagem e Simulação
 , ,Segurança em Computação
 , ,Inteligência Artificial
 , ,Banco de Dados II
