Introdução à Probabilidade e à Estatística,Fundamentos de Matemática para a Computação,Algebra 1
Integração na Universidade e na Profissão,Álgebra Booleana e Circuitos Digitais,Probabilidade e Estatística
Caminhos no Bacharelado em Ciência da Computação,Cálculo Diferencial e Integral I,SOFTWARE BASICO
Língua Portuguesa,Vetores e Geometria,Computação Experimental
Modelagem e Simulação,Introdução à Lógica e Verificação de Programas,INFORMATICA E SOCIEDADE
 ,Cálculo Diferencial e Integral II,Trabalho de Graduação 1
 ,Álgebra Linear I,Trabalho de Graduação 2
 ,Funções Diferenciáveis e Séries,Autômatos e Computabilidade
 ,Introdução à Computação,Fundamentos de Sistemas Operacionais
 ,Algoritmos e Estruturas de Dados I,Introdução aos Sistemas Computacionais
 ,Técnicas de Programação I,Organização de Arquivos
 ,Algoritmos e Estruturas de Dados II,Teoria e Aplicação de Grafos
 ,Conceitos Fundamentais de Linguagens de Programação,BANCOS DE DADOS
 ,Análise de Algoritmos,CALCULO NUMERICO
 ,Sistemas Operacionais,Compiladores
 ,Laboratório de Métodos Numéricos,ENGENHARIA DE SOFTWARE
 ,Introdução ao Desenvolvimento de Sistemas de Software,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 , ,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 , ,Metodologia Científica
 , ,Programação Concorrente
 , ,Redes de Computadores
 , ,Segurança Computacional
 , ,Tecnicas de Programação 1
 , ,Tecnicas de Programação 2
