Fundamentos de Matemática para a Computação,Álgebra Booleana e Circuitos Digitais,Cálculo I
Introdução à Lógica e Verificação de Programas,Cálculo Diferencial e Integral I,Lógica Computacional
Funções Diferenciáveis e Séries,Vetores e Geometria,Cálculo II
Integração na Universidade e na Profissão,Introdução à Probabilidade e à Estatística,|Direito, Legislação e Ética|
Caminhos no Bacharelado em Ciência da Computação,Cálculo Diferencial e Integral II,Projeto e Implementação de Sistemas I 12
Língua Portuguesa,Álgebra Linear I,Empreendedorismo
Análise de Algoritmos,Introdução à Computação,Dispositivos e Circuitos Eletrônicos
Modelagem e Simulação,Algoritmos e Estruturas de Dados I,Metodologia da Pesquisa Científica
 ,Técnicas de Programação I,Linguagem de Montagem
 ,Algoritmos e Estruturas de Dados II,Administração de Sistemas de Informação
 ,Conceitos Fundamentais de Linguagens de Programação,Fundamentos de Computação
 ,Sistemas Operacionais,Circuitos Digitais
 ,Laboratório de Métodos Numéricos,Estruturas de Dados II
 ,Introdução ao Desenvolvimento de Sistemas de Software,Pesquisa Operacional II
 , ,Engenharia de Software I
 , ,Microcontroladores
 , ,Computação Gráfica
 , ,Inteligência Artificial
 , ,Banco de Dados II
 , ,Engenharia de Software II
 , ,Redes de Computadores
 , ,Segurança em Sistemas de Informação
 , ,Projeto e Implementação de Sistemas II
 , ,Laboratório de Mecânica Aplicada
 , ,Sistemas Operacionais I
 , ,Projeto de Redes de Computadores
