PROBABILIDADE E ESTATISTICA,CALCULO DE UMA VARIAVEL,Álgebra Linear
LOGICA PARA COMPUTACAO,CALCULO A VARIAS VARIAVEIS I,Lógica Matemática
O HUMANO E O FENOM RELIGIOSO,ALGEBRA LINEAR I,Matemática Discreta
ETICA CRISTA,EQUACOES DIFER E DE DIFERENCAS,Probabilidade e Estatística
ETICA SOCIOAMBIENT DIR HUMANOS,ESTRUTURAS DISCRETAS,Administração
INTRODUCAO A PROGRAMACAO,INTROD ARQ DE COMPUTADORES,Computadores e Sociedade
MODELAGEM DE DADOS,PROGRAMACAO II,Comunicação e Expressão
PROGRAMACAO MODULAR,ESTRUTURAS DE DADOS AVANCADAS,Contabilidade e Custos
 ,SOFTWARE BASICO,Direito e Legislação
 ,SISTEMAS DE COMPUTACAO,Economia
 ,LING FORMAIS E AUTOMATOS,Empreendedorismo
 ,SEMANTICA DE LINGUAGENS,Estágio
 ,ANALISE DE ALGORITMOS,Filosofia
 ,COMPUTABILIDADE,Informática na Educação
 ,INTR INT HUMANO-COMPUTADOR,Inglês
 ,BANCOS DE DADOS,Métodos Quantitativos Aplicados à Administração de Empresas
 ,ENGENHARIA DE REQUISITOS,Sociologia
 ,ANALISE NUMERICA I,Psicologia
 ,PROGRAMACAO ORIENTADA OBJETOS,Circuitos Eletrônicos
 ,COMPILADORES,Análise de Algoritmos
 ,MODELAGEM DE SOFTWARE,Circuitos Digitais
 ,ESPEC/ANAL FORMAL DE SISTEMAS,Fundamentos de Sistemas
 ,REDES DE COMUNICACAO DE DADOS,Organização de Arquivos e Dados
 ,INTELIGENCIA ARTIFICIAL,Análise de Desempenho
 ,TESTE DE SOFTWARE,Circuitos Integrados
 ,Mecânica Newtoniana,Computação Gráfica
 ,LAB DE MECANICA NEWTONIANA,Automação e Controle
 , ,Métodos Formais
 , ,Processamento Digital de Sinais
 , ,Processamento de Imagens
 , ,Programação Paralela
 , ,Segurança e Auditoria de Sistemas
 , ,Sistemas Distribuídos
 , ,Sistemas Embarcados
 , ,Sistemas Multimídia
 , ,Tolerância a Falhas
 , ,Telecomunicações
