CALCULO A VARIAS VARIAVEIS I,CALCULO DE UMA VARIAVEL,CÁLCULO 1
PROBABILIDADE E ESTATISTICA,ALGEBRA LINEAR I,LÓGICA MATEMÁTICA
EQUACOES DIFER E DE DIFERENCAS,INTROD ARQ DE COMPUTADORES,PROBABILIDADE E ESTATÍSTICA
ESTRUTURAS DISCRETAS,PROGRAMACAO II,TÓPICOS 1
LOGICA PARA COMPUTACAO,ESTRUTURAS DE DADOS AVANCADAS,DIREITO
O HUMANO E O FENOM RELIGIOSO,SOFTWARE BASICO,COMPUTADOR E SOCIEDADE
ETICA CRISTA,SISTEMAS DE COMPUTACAO,EMPREENDEDORISMO
ETICA SOCIOAMBIENT DIR HUMANOS,LING FORMAIS E AUTOMATOS,TÓPICOS 2
Mecânica Newtoniana,SEMANTICA DE LINGUAGENS,INTRODUÇÃO À COMPUTAÇÃO
LAB DE MECANICA NEWTONIANA,ANALISE DE ALGORITMOS,PROGRAMAÇÃO DE COMPUTADORES 2 CN
 ,COMPUTABILIDADE,SISTEMAS DIGITAIS
 ,INTRODUCAO A PROGRAMACAO,ANÁLISE E PROJETO DE ALGORITMOS
 ,INTR INT HUMANO-COMPUTADOR,ESTRUTURAS DE DADOS II
 ,MODELAGEM DE DADOS,LINGUAGENS DE PROGRAMAÇÃO
 ,PROGRAMACAO MODULAR,MATEMÁTICA DISCRETA
 ,BANCOS DE DADOS,FÍSICA PARA COMPUTAÇÃO
 ,ENGENHARIA DE REQUISITOS,PESQUISA OPERACIONAL
 ,ANALISE NUMERICA I,ENGENHARIA DE SOFTWARE
 ,PROGRAMACAO ORIENTADA OBJETOS,SISTEMAS GERENCIADORES DE BD
 ,COMPILADORES,REDES DE COMPUTADORES 2
 ,MODELAGEM DE SOFTWARE,SISTEMAS DISTRIBUÍDOS
 ,ESPEC/ANAL FORMAL DE SISTEMAS,COMPUTAÇÃO GRÁFICA
 ,REDES DE COMUNICACAO DE DADOS,PROJETO FINAL DE CURSO 1
 ,INTELIGENCIA ARTIFICIAL,MULTIMÍDIA
 ,TESTE DE SOFTWARE,PROJETO FINAL DE CURSO 2
 , ,SEGURANÇA E AUDITORIA DE SISTEMAS
