PROBABILIDADE E ESTATISTICA,CALCULO DE UMA VARIAVEL,ESTATIST PROBABILIDADE COMPUTACAO
EQUACOES DIFER E DE DIFERENCAS,CALCULO A VARIAS VARIAVEIS I,INFORMATICA E SOCIEDADE
O HUMANO E O FENOM RELIGIOSO,ALGEBRA LINEAR I,INGLES PARA COMPUTACAO
ETICA CRISTA,ESTRUTURAS DISCRETAS,HISTORIA E FUTURO DA COMPUTACAO
ETICA SOCIOAMBIENT DIR HUMANOS,LOGICA PARA COMPUTACAO,METODOL EXPRESSAO TEC-CIENTIFICA
INTROD ARQ DE COMPUTADORES,PROGRAMACAO II,FISICA PARA COMPUTACAO
LING FORMAIS E AUTOMATOS,ESTRUTURAS DE DADOS AVANCADAS,SISTEMAS DIGITAIS
SEMANTICA DE LINGUAGENS,SOFTWARE BASICO,INFORMATICA TEORICA
COMPUTABILIDADE,SISTEMAS DE COMPUTACAO,PARADIGMAS LING.COMPUTACIONAIS
INTR INT HUMANO-COMPUTADOR,ANALISE DE ALGORITMOS,INTRODUCAO A COMPUTACAO
MODELAGEM DE DADOS,INTRODUCAO A PROGRAMACAO,INFRA-ESTRUTURA DE HARDWARE
BANCOS DE DADOS,PROGRAMACAO MODULAR,ENGENHARIA SOFTWARE E SISTEMAS
ENGENHARIA DE REQUISITOS,PROGRAMACAO ORIENTADA OBJETOS,INTERFACES USUARIO-MAQUINA
ANALISE NUMERICA I,MODELAGEM DE SOFTWARE,PROCESSAMENTO GRAFICO
COMPILADORES,REDES DE COMUNICACAO DE DADOS,SISTEMAS INTELIGENTES
ESPEC/ANAL FORMAL DE SISTEMAS, ,INTRODUÇÃO A MULTIMIDIA
INTELIGENCIA ARTIFICIAL, ,PROJETO DE DESENVOLVIMENTO
TESTE DE SOFTWARE, ,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Mecânica Newtoniana, , 
LAB DE MECANICA NEWTONIANA, , 
