CALCULO A VARIAS VARIAVEIS I,CALCULO DE UMA VARIAVEL,Geometria Analítica I
PROBABILIDADE E ESTATISTICA,ALGEBRA LINEAR I,Cálculo Diferencial e Integral II
EQUACOES DIFER E DE DIFERENCAS,INTROD ARQ DE COMPUTADORES,Matemática Discreta
ESTRUTURAS DISCRETAS,PROGRAMACAO II,Introdução a Álbebra
LOGICA PARA COMPUTACAO,ESTRUTURAS DE DADOS AVANCADAS,Metodologia Científica
O HUMANO E O FENOM RELIGIOSO,SOFTWARE BASICO,Circuitos Lógicos
ETICA CRISTA,SISTEMAS DE COMPUTACAO,Projetos Digitais e Microprocessadores
ETICA SOCIOAMBIENT DIR HUMANOS,LING FORMAIS E AUTOMATOS,Organização e Arquitetura de Computadores
SEMANTICA DE LINGUAGENS,ANALISE DE ALGORITMOS,Algoritmos e Estruturas de Dados III
MODELAGEM DE DADOS,COMPUTABILIDADE,Software Básico
ESPEC/ANAL FORMAL DE SISTEMAS,INTRODUCAO A PROGRAMACAO,Algoritmos e Teoria dos Grafos
TESTE DE SOFTWARE,INTR INT HUMANO-COMPUTADOR,Introdução a Teoria Geral da Administração
Mecânica Newtoniana,PROGRAMACAO MODULAR,Análise de Algoritmos
LAB DE MECANICA NEWTONIANA,BANCOS DE DADOS,Teoria de Sistemas
 ,ENGENHARIA DE REQUISITOS,Oficina de Computação
 ,ANALISE NUMERICA I,Estatística II
 ,PROGRAMACAO ORIENTADA OBJETOS,Introdução à Computação Científica
 ,COMPILADORES,Redes de Computadores II
 ,MODELAGEM DE SOFTWARE,Engenharia de Software
 ,REDES DE COMUNICACAO DE DADOS, 
 ,INTELIGENCIA ARTIFICIAL, 
