CALCULO A VARIAS VARIAVEIS I,CALCULO DE UMA VARIAVEL,CÁLCULO E GEOMETRIA ANALÍTICA I - A
PROBABILIDADE E ESTATISTICA,ALGEBRA LINEAR I,FUNDAMENTOS DE ALGORITMOS
EQUACOES DIFER E DE DIFERENCAS,ESTRUTURAS DISCRETAS,MATEMÁTICA DISCRETA B
LOGICA PARA COMPUTACAO,INTROD ARQ DE COMPUTADORES,CÁLCULO E GEOMETRIA ANALÍTICA II - A
O HUMANO E O FENOM RELIGIOSO,PROGRAMACAO II,LÓGICA PARA COMPUTAÇÃO
ETICA CRISTA,ESTRUTURAS DE DADOS AVANCADAS,PROBABILIDADE E ESTATÍSTICA
ETICA SOCIOAMBIENT DIR HUMANOS,SOFTWARE BASICO,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
PROGRAMACAO MODULAR,SISTEMAS DE COMPUTACAO,EMPREENDIMENTO EM INFORMÁTICA
ENGENHARIA DE REQUISITOS,LING FORMAIS E AUTOMATOS,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
PROGRAMACAO ORIENTADA OBJETOS,SEMANTICA DE LINGUAGENS,CIRCUITOS DIGITAIS
ESPEC/ANAL FORMAL DE SISTEMAS,ANALISE DE ALGORITMOS,CLASSIFICAÇÃO E PESQUISA DE DADOS
INTELIGENCIA ARTIFICIAL,COMPUTABILIDADE,COMPLEXIDADE DE ALGORITMOS - B
Mecânica Newtoniana,INTRODUCAO A PROGRAMACAO,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
LAB DE MECANICA NEWTONIANA,INTR INT HUMANO-COMPUTADOR,ORGANIZAÇÃO DE COMPUTADORES B
 ,MODELAGEM DE DADOS,ENGENHARIA DE SOFTWARE N
 ,BANCOS DE DADOS,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
 ,ANALISE NUMERICA I,INTELIGÊNCIA ARTIFICIAL
 ,COMPILADORES,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,MODELAGEM DE SOFTWARE,OTIMIZAÇÃO COMBINATÓRIA
 ,REDES DE COMUNICACAO DE DADOS,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,TESTE DE SOFTWARE,SISTEMAS OPERACIONAIS II N
