CALCULO A VARIAS VARIAVEIS I,CALCULO DE UMA VARIAVEL,Algebra 1
PROBABILIDADE E ESTATISTICA,ALGEBRA LINEAR I,Lógica Computacional 1
LOGICA PARA COMPUTACAO,EQUACOES DIFER E DE DIFERENCAS,Probabilidade e Estatística
O HUMANO E O FENOM RELIGIOSO,ESTRUTURAS DISCRETAS,SOFTWARE BASICO
ETICA CRISTA,INTROD ARQ DE COMPUTADORES,Computação Experimental
ETICA SOCIOAMBIENT DIR HUMANOS,PROGRAMACAO II,INFORMATICA E SOCIEDADE
SISTEMAS DE COMPUTACAO,ESTRUTURAS DE DADOS AVANCADAS,Trabalho de Graduação 1
SEMANTICA DE LINGUAGENS,SOFTWARE BASICO,Trabalho de Graduação 2
PROGRAMACAO MODULAR,LING FORMAIS E AUTOMATOS,Fundamentos de Sistemas Operacionais
ENGENHARIA DE REQUISITOS,ANALISE DE ALGORITMOS,Introdução aos Sistemas Computacionais
MODELAGEM DE SOFTWARE,COMPUTABILIDADE,Organização de Arquivos
ESPEC/ANAL FORMAL DE SISTEMAS,INTRODUCAO A PROGRAMACAO,Teoria e Aplicação de Grafos
Mecânica Newtoniana,INTR INT HUMANO-COMPUTADOR,CALCULO NUMERICO
LAB DE MECANICA NEWTONIANA,MODELAGEM DE DADOS,CIRCUITOS DIGITAIS
 ,BANCOS DE DADOS,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,ANALISE NUMERICA I,Metodologia Científica
 ,PROGRAMACAO ORIENTADA OBJETOS,Programação Concorrente
 ,COMPILADORES,Segurança Computacional
 ,REDES DE COMUNICACAO DE DADOS,Tecnicas de Programação 1
 ,INTELIGENCIA ARTIFICIAL,Tecnicas de Programação 2
 ,TESTE DE SOFTWARE, 
