PROBABILIDADE E ESTATISTICA,CALCULO DE UMA VARIAVEL,Cálculo I
ESTRUTURAS DISCRETAS,CALCULO A VARIAS VARIAVEIS I,Geometria Analítica
LOGICA PARA COMPUTACAO,ALGEBRA LINEAR I,Probabilidade e Estatística
O HUMANO E O FENOM RELIGIOSO,EQUACOES DIFER E DE DIFERENCAS,Cálculo II
ETICA CRISTA,INTROD ARQ DE COMPUTADORES,|Direito, Legislação e Ética|
ETICA SOCIOAMBIENT DIR HUMANOS,PROGRAMACAO II,Projeto e Implementação de Sistemas I 12
SEMANTICA DE LINGUAGENS,ESTRUTURAS DE DADOS AVANCADAS,Empreendedorismo
ANALISE DE ALGORITMOS,SOFTWARE BASICO,Dispositivos e Circuitos Eletrônicos
COMPUTABILIDADE,SISTEMAS DE COMPUTACAO,Metodologia da Pesquisa Científica
INTR INT HUMANO-COMPUTADOR,LING FORMAIS E AUTOMATOS,Laboratório de Circuitos Digitais
INTELIGENCIA ARTIFICIAL,INTRODUCAO A PROGRAMACAO,Administração de Sistemas de Informação
 ,MODELAGEM DE DADOS,Fundamentos de Computação
 ,PROGRAMACAO MODULAR,Circuitos Digitais
 ,BANCOS DE DADOS,Pesquisa Operacional II
 ,ENGENHARIA DE REQUISITOS,Engenharia de Software I
 ,ANALISE NUMERICA I,Microcontroladores
 ,PROGRAMACAO ORIENTADA OBJETOS,Computação Gráfica
 ,COMPILADORES,Inteligência Artificial
 ,MODELAGEM DE SOFTWARE,Banco de Dados II
 ,ESPEC/ANAL FORMAL DE SISTEMAS,Segurança em Sistemas de Informação
 ,REDES DE COMUNICACAO DE DADOS,Projeto e Implementação de Sistemas II
 ,TESTE DE SOFTWARE,Sistemas Operacionais I
 ,Mecânica Newtoniana,Projeto de Redes de Computadores
 ,LAB DE MECANICA NEWTONIANA, 
