Matemática Discreta (CC),Cálculo A (CC),Cálculo III
Humanismo e Cultura Religiosa,Cálculo B (CC),Cálculo IV
Empreendimentos Empresariais,Lógica para Computação,Álgebra Linear e Equações Diferenciais
Ética e Filosofia da Ciência,Álgebra Linear e Geometria Analítica,Informação Profissional em Ciências da Computação
Fundamentos do Raciocínio Lógico,Probabilidade e Estatística para Computação,Computadores e Sociedade I
Programação Funcional,Metodologia Científica e Escrita para Computação,Projeto Supervisionado I
Disciplina Integradora I (Lógica e Programação),Fundamentos de Programação,Projeto Supervisionado II
Engenharia de Software Orientada a Modelos,Introdução à Ciência da Computação,Laboratório de Introdução à Ciência de Computação I
Disciplina Integradora III (Especificação e Construção de Sistemas),Matemática Concreta,Prática em Lógica Digital
Implementação de Sistemas de Bancos de Dados,Algoritmos e Estrutura de Dados I,Introdução à Lógica Digital
Laboratório de Redes de Computadores,Programação Orientada a Objetos,Eletrônica para Computação
Disciplina Integradora IV - Trabalho de Conclusão,Algoritmos e Estrutura de Dados II,Introdução à Ciência de Computação II
 ,Linguagens Formais e Autômatos,Prática em Sistemas Digitais
 ,Organização e Arquitetura de Computadores I,Sistemas Digitais
 ,Teoria da Computabilidade e Complexidade,Organização de Arquivos
 ,Organização e Arquitetura de Computadores II,Modelagem Computacional em Grafos
 ,Sistemas Operacionais,Programação Orientada a Objetos
 ,Projeto e Otimização de Algoritmos,Sistemas de Informação
 ,Métodos Formais para Computação,Computação Gráfica
 ,Programação de Baixo Nível,Cálculo Numérico
 ,Técnicas de Programação,Processos Estocásticos
 ,Engenharia de Software,Introdução ao Desenvolvimento Web
 ,Fundamentos de Bancos de Dados,Física Básica I
 ,Modelos para Computação Concorrente,Laboratório de Física Geral I
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Fundamentos de Inteligência Artificial, 
 ,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Simulação e Métodos Analíticos, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
