Probabilidade e Estatística para Computação,Cálculo A (CC),Álgebra Booleana e Circuitos Digitais
Metodologia Científica e Escrita para Computação,Matemática Discreta (CC),Introdução à Probabilidade e à Estatística
Humanismo e Cultura Religiosa,Cálculo B (CC),Cálculo Diferencial e Integral II
Empreendimentos Empresariais,Lógica para Computação,Álgebra Linear I
Ética e Filosofia da Ciência,Álgebra Linear e Geometria Analítica,Funções Diferenciáveis e Séries
Fundamentos do Raciocínio Lógico,Fundamentos de Programação,Caminhos no Bacharelado em Ciência da Computação
Linguagens Formais e Autômatos,Introdução à Ciência da Computação,Língua Portuguesa
Teoria da Computabilidade e Complexidade,Matemática Concreta,Modelagem e Simulação
Organização e Arquitetura de Computadores II,Algoritmos e Estrutura de Dados I, 
Disciplina Integradora I (Lógica e Programação),Programação Orientada a Objetos, 
Engenharia de Software Orientada a Modelos,Algoritmos e Estrutura de Dados II, 
Programação de Baixo Nível,Organização e Arquitetura de Computadores I, 
Modelos para Computação Concorrente,Programação Funcional, 
Fundamentos de Computação Gráfica,Sistemas Operacionais, 
Disciplina Integradora II (Iniciação Científica),Projeto e Otimização de Algoritmos, 
Disciplina Integradora III (Especificação e Construção de Sistemas),Métodos Formais para Computação, 
Fundamentos de Inteligência Artificial,Técnicas de Programação, 
Laboratório de Sistemas Operacionais,Engenharia de Software, 
Implementação de Sistemas de Bancos de Dados,Fundamentos de Bancos de Dados, 
Laboratório de Redes de Computadores,Métodos Numéricos, 
Computação Paralela,Introdução à Redes de Computadores, 
Construção de Compiladores,Interpretação de Linguagens de Programação, 
Simulação e Métodos Analíticos,Projeto e Implementação de Sistemas Interativos, 
Redes de Computadores Avançada,Disciplina Integradora IV - Trabalho de Conclusão, 
Sistemas Inteligentes e Autônomos, , 
Projeto e Desenvolvimento de Jogos, , 
Sistemas Distribuídos, , 
