Probabilidade e Estatística para Computação,Cálculo A (CC),CALCULO A VARIAS VARIAVEIS I
Fundamentos do Raciocínio Lógico,Matemática Discreta (CC),PROBABILIDADE E ESTATISTICA
Organização e Arquitetura de Computadores II,Cálculo B (CC),EQUACOES DIFER E DE DIFERENCAS
Disciplina Integradora I (Lógica e Programação),Lógica para Computação,Mecânica Newtoniana
Projeto e Otimização de Algoritmos,Álgebra Linear e Geometria Analítica,LAB DE MECANICA NEWTONIANA
Humanismo e Cultura Religiosa,Fundamentos de Programação,PROGRAMACAO II
Empreendimentos Empresariais,Introdução à Ciência da Computação,SOFTWARE BASICO
Ética e Filosofia da Ciência,Matemática Concreta,LOGICA PARA COMPUTACAO
Fundamentos de Computação Gráfica,Algoritmos e Estrutura de Dados I,O HUMANO E O FENOM RELIGIOSO
Disciplina Integradora II (Iniciação Científica),Programação Orientada a Objetos,ETICA CRISTA
Disciplina Integradora III (Especificação e Construção de Sistemas),Algoritmos e Estrutura de Dados II,ETICA SOCIOAMBIENT DIR HUMANOS
Fundamentos de Inteligência Artificial,Linguagens Formais e Autômatos,INTRODUCAO A PROGRAMACAO
Laboratório de Sistemas Operacionais,Organização e Arquitetura de Computadores I,ENGENHARIA DE REQUISITOS
Implementação de Sistemas de Bancos de Dados,Programação Funcional, 
Laboratório de Redes de Computadores,Teoria da Computabilidade e Complexidade, 
Computação Paralela,Sistemas Operacionais, 
Simulação e Métodos Analíticos,Métodos Formais para Computação, 
Sistemas Inteligentes e Autônomos,Engenharia de Software Orientada a Modelos, 
Projeto e Desenvolvimento de Jogos,Metodologia Científica e Escrita para Computação, 
Disciplina Integradora IV - Trabalho de Conclusão,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Métodos Numéricos, 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Distribuídos, 
