Probabilidade e Estatística para Computação,Cálculo A (CC),CALCULO A VARIAS VARIAVEIS I
Humanismo e Cultura Religiosa,Matemática Discreta (CC),PROBABILIDADE E ESTATISTICA
Empreendimentos Empresariais,Cálculo B (CC),EQUACOES DIFER E DE DIFERENCAS
Ética e Filosofia da Ciência,Lógica para Computação,LOGICA PARA COMPUTACAO
Fundamentos do Raciocínio Lógico,Álgebra Linear e Geometria Analítica,O HUMANO E O FENOM RELIGIOSO
Organização e Arquitetura de Computadores II,Metodologia Científica e Escrita para Computação,ETICA CRISTA
Disciplina Integradora I (Lógica e Programação),Fundamentos de Programação,ETICA SOCIOAMBIENT DIR HUMANOS
Projeto e Otimização de Algoritmos,Introdução à Ciência da Computação,PROGRAMACAO II
Fundamentos de Computação Gráfica,Matemática Concreta,SOFTWARE BASICO
Disciplina Integradora II (Iniciação Científica),Algoritmos e Estrutura de Dados I,INTRODUCAO A PROGRAMACAO
Disciplina Integradora III (Especificação e Construção de Sistemas),Programação Orientada a Objetos,ENGENHARIA DE REQUISITOS
Fundamentos de Inteligência Artificial,Algoritmos e Estrutura de Dados II,Mecânica Newtoniana
Laboratório de Sistemas Operacionais,Linguagens Formais e Autômatos,LAB DE MECANICA NEWTONIANA
Implementação de Sistemas de Bancos de Dados,Organização e Arquitetura de Computadores I, 
Laboratório de Redes de Computadores,Programação Funcional, 
Computação Paralela,Teoria da Computabilidade e Complexidade, 
Simulação e Métodos Analíticos,Sistemas Operacionais, 
Sistemas Inteligentes e Autônomos,Métodos Formais para Computação, 
Projeto e Desenvolvimento de Jogos,Engenharia de Software Orientada a Modelos, 
Disciplina Integradora IV - Trabalho de Conclusão,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Métodos Numéricos, 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Distribuídos, 
