Cálculo B (CC),Cálculo A (CC),Álgebra Linear
Humanismo e Cultura Religiosa,Matemática Discreta (CC),Análise Combinatória
Fundamentos do Raciocínio Lógico,Lógica para Computação,Equações Diferenciais
Programação Funcional,Álgebra Linear e Geometria Analítica,Administração
Programação de Baixo Nível,Probabilidade e Estatística para Computação,Computadores e Sociedade
Disciplina Integradora II (Iniciação Científica),Metodologia Científica e Escrita para Computação,Comunicação e Expressão
Disciplina Integradora III (Especificação e Construção de Sistemas),Empreendimentos Empresariais,Contabilidade e Custos
Disciplina Integradora IV - Trabalho de Conclusão,Ética e Filosofia da Ciência,Direito e Legislação
 ,Fundamentos de Programação,Economia
 ,Introdução à Ciência da Computação,Estágio
 ,Matemática Concreta,Informática na Educação
 ,Algoritmos e Estrutura de Dados I,Métodos Quantitativos Aplicados à Administração de Empresas
 ,Programação Orientada a Objetos,Sociologia
 ,Algoritmos e Estrutura de Dados II,Psicologia
 ,Linguagens Formais e Autômatos,Circuitos Eletrônicos
 ,Organização e Arquitetura de Computadores I,Fundamentos de Sistemas
 ,Teoria da Computabilidade e Complexidade,Organização de Arquivos e Dados
 ,Organização e Arquitetura de Computadores II,Teoria dos Grafos
 ,Disciplina Integradora I (Lógica e Programação),Circuitos Integrados
 ,Sistemas Operacionais,Automação e Controle
 ,Projeto e Otimização de Algoritmos,Interação Humano-Computador
 ,Métodos Formais para Computação,Métodos Formais
 ,Engenharia de Software Orientada a Modelos,Processamento Digital de Sinais
 ,Técnicas de Programação,Processamento de Imagens
 ,Engenharia de Software,Programação Paralela
 ,Fundamentos de Bancos de Dados,Segurança e Auditoria de Sistemas
 ,Modelos para Computação Concorrente,Sistemas Distribuídos
 ,Fundamentos de Computação Gráfica,Telecomunicações
 ,Métodos Numéricos,Física
 ,Fundamentos de Inteligência Artificial, 
 ,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Implementação de Sistemas de Bancos de Dados, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Simulação e Métodos Analíticos, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
