Matemática Discreta (CC),Cálculo A (CC),PROBABILIDADE E ESTATÍSTICA
Fundamentos do Raciocínio Lógico,Cálculo B (CC),INTRODUÇÃO À COMPUTAÇÃO
Programação Funcional,Lógica para Computação,SISTEMAS DIGITAIS
Humanismo e Cultura Religiosa,Álgebra Linear e Geometria Analítica,TEORIA DOS GRAFOS
Empreendimentos Empresariais,Probabilidade e Estatística para Computação,ESTRUTURAS DE DADOS II
Ética e Filosofia da Ciência,Fundamentos de Programação,TÓPICOS 1
Métodos Numéricos,Introdução à Ciência da Computação,DIREITO
Simulação e Métodos Analíticos,Matemática Concreta,EMPREENDEDORISMO
 ,Algoritmos e Estrutura de Dados I,TÓPICOS 2
 ,Programação Orientada a Objetos,PROGRAMAÇÃO DE COMPUTADORES 1 CN
 ,Algoritmos e Estrutura de Dados II,FÍSICA PARA COMPUTAÇÃO
 ,Linguagens Formais e Autômatos,PESQUISA OPERACIONAL
 ,Organização e Arquitetura de Computadores I,SISTEMAS DISTRIBUÍDOS
 ,Teoria da Computabilidade e Complexidade,MULTIMÍDIA
 ,Organização e Arquitetura de Computadores II,PROJETO FINAL DE CURSO 2
 ,Disciplina Integradora I (Lógica e Programação),SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Sistemas Operacionais, 
 ,Projeto e Otimização de Algoritmos, 
 ,Métodos Formais para Computação, 
 ,Engenharia de Software Orientada a Modelos, 
 ,Metodologia Científica e Escrita para Computação, 
 ,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Disciplina Integradora III (Especificação e Construção de Sistemas), 
 ,Fundamentos de Inteligência Artificial, 
 ,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Implementação de Sistemas de Bancos de Dados, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
