Álgebra Linear e Geometria Analítica,Cálculo A (CC),ESTATIST PROBABILIDADE COMPUTACAO
Probabilidade e Estatística para Computação,Matemática Discreta (CC),INFORMATICA E SOCIEDADE
Metodologia Científica e Escrita para Computação,Cálculo B (CC),INGLES PARA COMPUTACAO
Humanismo e Cultura Religiosa,Lógica para Computação,HISTORIA E FUTURO DA COMPUTACAO
Empreendimentos Empresariais,Fundamentos de Programação,ALGEBRA VET LINEAR P/COMPUTACAO
Ética e Filosofia da Ciência,Introdução à Ciência da Computação,FISICA PARA COMPUTACAO
Fundamentos do Raciocínio Lógico,Matemática Concreta,SISTEMAS DIGITAIS
Organização e Arquitetura de Computadores I,Algoritmos e Estrutura de Dados I,PARADIGMAS LING.COMPUTACIONAIS
Programação Funcional,Programação Orientada a Objetos,INTRODUCAO A COMPUTACAO
Disciplina Integradora I (Lógica e Programação),Algoritmos e Estrutura de Dados II,PROCESSAMENTO GRAFICO
Projeto e Otimização de Algoritmos,Linguagens Formais e Autômatos,INTRODUÇÃO A MULTIMIDIA
Métodos Formais para Computação,Teoria da Computabilidade e Complexidade, 
Engenharia de Software Orientada a Modelos,Organização e Arquitetura de Computadores II, 
Programação de Baixo Nível,Sistemas Operacionais, 
Fundamentos de Bancos de Dados,Técnicas de Programação, 
Disciplina Integradora III (Especificação e Construção de Sistemas),Engenharia de Software, 
Implementação de Sistemas de Bancos de Dados,Modelos para Computação Concorrente, 
Interpretação de Linguagens de Programação,Fundamentos de Computação Gráfica, 
Laboratório de Redes de Computadores,Métodos Numéricos, 
Construção de Compiladores,Disciplina Integradora II (Iniciação Científica), 
Simulação e Métodos Analíticos,Fundamentos de Inteligência Artificial, 
Sistemas Distribuídos,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
