Humanismo e Cultura Religiosa,Cálculo A (CC),Geometria Analítica I
Empreendimentos Empresariais,Matemática Discreta (CC),Cálculo Diferencial e Integral II
Fundamentos do Raciocínio Lógico,Cálculo B (CC),Introdução a Álbebra
Organização e Arquitetura de Computadores II,Lógica para Computação,Circuitos Lógicos
Fundamentos de Bancos de Dados,Álgebra Linear e Geometria Analítica,Projetos Digitais e Microprocessadores
Fundamentos de Inteligência Artificial,Probabilidade e Estatística para Computação,Algoritmos e Estruturas de Dados III
Laboratório de Sistemas Operacionais,Metodologia Científica e Escrita para Computação,Software Básico
Implementação de Sistemas de Bancos de Dados,Ética e Filosofia da Ciência,Algoritmos e Teoria dos Grafos
Disciplina Integradora IV - Trabalho de Conclusão,Fundamentos de Programação,Introdução a Teoria Geral da Administração
 ,Introdução à Ciência da Computação,Sistemas Operacionais
 ,Matemática Concreta,Estatística II
 ,Algoritmos e Estrutura de Dados I,Redes de Computadores I
 ,Programação Orientada a Objetos,Sistemas de Bancos de Dados
 ,Algoritmos e Estrutura de Dados II, 
 ,Linguagens Formais e Autômatos, 
 ,Organização e Arquitetura de Computadores I, 
 ,Programação Funcional, 
 ,Teoria da Computabilidade e Complexidade, 
 ,Disciplina Integradora I (Lógica e Programação), 
 ,Sistemas Operacionais, 
 ,Projeto e Otimização de Algoritmos, 
 ,Métodos Formais para Computação, 
 ,Engenharia de Software Orientada a Modelos, 
 ,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Disciplina Integradora III (Especificação e Construção de Sistemas), 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Simulação e Métodos Analíticos, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
