Metodologia Científica e Escrita para Computação,Cálculo A (CC),CÁLCULO E GEOMETRIA ANALÍTICA II - A
Humanismo e Cultura Religiosa,Matemática Discreta (CC),TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Fundamentos do Raciocínio Lógico,Cálculo B (CC),SEMÂNTICA FORMAL N
Programação Orientada a Objetos,Lógica para Computação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Programação Funcional,Álgebra Linear e Geometria Analítica,CIRCUITOS DIGITAIS
Disciplina Integradora I (Lógica e Programação),Probabilidade e Estatística para Computação,CLASSIFICAÇÃO E PESQUISA DE DADOS
Projeto e Otimização de Algoritmos,Empreendimentos Empresariais,COMPLEXIDADE DE ALGORITMOS - B
Engenharia de Software Orientada a Modelos,Ética e Filosofia da Ciência,SISTEMAS OPERACIONAIS I N
Programação de Baixo Nível,Fundamentos de Programação,CÁLCULO NUMÉRICO A
Disciplina Integradora II (Iniciação Científica),Introdução à Ciência da Computação,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
Disciplina Integradora III (Especificação e Construção de Sistemas),Matemática Concreta,ORGANIZAÇÃO DE COMPUTADORES B
Laboratório de Sistemas Operacionais,Algoritmos e Estrutura de Dados I,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
Implementação de Sistemas de Bancos de Dados,Algoritmos e Estrutura de Dados II, 
Laboratório de Redes de Computadores,Linguagens Formais e Autômatos, 
Projeto e Desenvolvimento de Jogos,Organização e Arquitetura de Computadores I, 
 ,Teoria da Computabilidade e Complexidade, 
 ,Organização e Arquitetura de Computadores II, 
 ,Sistemas Operacionais, 
 ,Métodos Formais para Computação, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Fundamentos de Inteligência Artificial, 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Simulação e Métodos Analíticos, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Sistemas Distribuídos, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
