Humanismo e Cultura Religiosa,Cálculo A (CC),Álgebra Linear
Empreendimentos Empresariais,Matemática Discreta (CC),Planejamento e Gestão de Projetos
Fundamentos do Raciocínio Lógico,Cálculo B (CC),Informática e Sociedade
Organização e Arquitetura de Computadores II,Lógica para Computação,Circuitos e Técnicas Digitais
Engenharia de Software Orientada a Modelos,Álgebra Linear e Geometria Analítica,Sistemas Digitais
Simulação e Métodos Analíticos,Probabilidade e Estatística para Computação,Sistemas Operacionais I
Sistemas Inteligentes e Autônomos,Metodologia Científica e Escrita para Computação,Grafos
 ,Ética e Filosofia da Ciência,Paradigmas de Programação
 ,Fundamentos de Programação,Sistemas Multimídia
 ,Introdução à Ciência da Computação,Introdução à Computação
 ,Matemática Concreta,Cálculo Numérico para Computação
 ,Algoritmos e Estrutura de Dados I,Programação Concorrente
 ,Programação Orientada a Objetos,Segurança em Computação
 ,Algoritmos e Estrutura de Dados II, 
 ,Linguagens Formais e Autômatos, 
 ,Organização e Arquitetura de Computadores I, 
 ,Programação Funcional, 
 ,Teoria da Computabilidade e Complexidade, 
 ,Disciplina Integradora I (Lógica e Programação), 
 ,Sistemas Operacionais, 
 ,Projeto e Otimização de Algoritmos, 
 ,Métodos Formais para Computação, 
 ,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Disciplina Integradora III (Especificação e Construção de Sistemas), 
 ,Fundamentos de Inteligência Artificial, 
 ,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Implementação de Sistemas de Bancos de Dados, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Computação Paralela, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Redes de Computadores Avançada, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
