Humanismo e Cultura Religiosa,Cálculo A (CC),Algebra 1
Empreendimentos Empresariais,Matemática Discreta (CC),Cálculo 2
Fundamentos do Raciocínio Lógico,Cálculo B (CC),Lógica Computacional 1
Engenharia de Software Orientada a Modelos,Lógica para Computação,Probabilidade e Estatística
Implementação de Sistemas de Bancos de Dados,Álgebra Linear e Geometria Analítica,SOFTWARE BASICO
Computação Paralela,Probabilidade e Estatística para Computação,Computação Experimental
Construção de Compiladores,Metodologia Científica e Escrita para Computação,INFORMATICA E SOCIEDADE
Simulação e Métodos Analíticos,Ética e Filosofia da Ciência,Trabalho de Graduação 1
Sistemas Inteligentes e Autônomos,Fundamentos de Programação,Trabalho de Graduação 2
Projeto e Desenvolvimento de Jogos,Introdução à Ciência da Computação,LINGUAGENS DE PROGRAMACAO
Sistemas Distribuídos,Matemática Concreta,Organização de Arquivos
 ,Algoritmos e Estrutura de Dados I,SISTEMAS DE INFORMACAO
 ,Programação Orientada a Objetos,Teoria e Aplicação de Grafos
 ,Algoritmos e Estrutura de Dados II,CALCULO NUMERICO
 ,Linguagens Formais e Autômatos,CIRCUITOS DIGITAIS
 ,Organização e Arquitetura de Computadores I,Compiladores
 ,Programação Funcional,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,Teoria da Computabilidade e Complexidade,Segurança Computacional
 ,Organização e Arquitetura de Computadores II,Tecnicas de Programação 1
 ,Disciplina Integradora I (Lógica e Programação),Tecnicas de Programação 2
 ,Sistemas Operacionais, 
 ,Projeto e Otimização de Algoritmos, 
 ,Métodos Formais para Computação, 
 ,Programação de Baixo Nível, 
 ,Técnicas de Programação, 
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Disciplina Integradora III (Especificação e Construção de Sistemas), 
 ,Fundamentos de Inteligência Artificial, 
 ,Laboratório de Sistemas Operacionais, 
 ,Introdução à Redes de Computadores, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Redes de Computadores Avançada, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
