Matemática Discreta (CC),Cálculo A (CC),Geometria Analítica
Lógica para Computação,Cálculo B (CC),Lógica Computacional
Humanismo e Cultura Religiosa,Álgebra Linear e Geometria Analítica,Cálculo II
Ética e Filosofia da Ciência,Probabilidade e Estatística para Computação,|Direito, Legislação e Ética|
Fundamentos do Raciocínio Lógico,Metodologia Científica e Escrita para Computação,Dispositivos e Circuitos Eletrônicos
Matemática Concreta,Empreendimentos Empresariais,Algoritmos I
Teoria da Computabilidade e Complexidade,Fundamentos de Programação,Linguagem de Montagem
Métodos Formais para Computação,Introdução à Ciência da Computação,Laboratório de Circuitos Digitais
Engenharia de Software Orientada a Modelos,Algoritmos e Estrutura de Dados I,Teoria da Computação e Linguagens Formais
Programação de Baixo Nível,Programação Orientada a Objetos,Sistemas Operacionais II
Laboratório de Sistemas Operacionais,Algoritmos e Estrutura de Dados II,Circuitos Digitais
Computação Paralela,Linguagens Formais e Autômatos,Pesquisa Operacional I
Simulação e Métodos Analíticos,Organização e Arquitetura de Computadores I,Pesquisa Operacional II
 ,Programação Funcional,Engenharia de Software I
 ,Organização e Arquitetura de Computadores II,Segurança em Sistemas de Informação
 ,Disciplina Integradora I (Lógica e Programação),Projeto e Implementação de Sistemas II
 ,Sistemas Operacionais,Laboratório de Mecânica Aplicada
 ,Projeto e Otimização de Algoritmos,Sistemas Operacionais I
 ,Técnicas de Programação,Projeto de Redes de Computadores
 ,Engenharia de Software, 
 ,Fundamentos de Bancos de Dados, 
 ,Modelos para Computação Concorrente, 
 ,Fundamentos de Computação Gráfica, 
 ,Métodos Numéricos, 
 ,Disciplina Integradora II (Iniciação Científica), 
 ,Disciplina Integradora III (Especificação e Construção de Sistemas), 
 ,Fundamentos de Inteligência Artificial, 
 ,Introdução à Redes de Computadores, 
 ,Implementação de Sistemas de Bancos de Dados, 
 ,Interpretação de Linguagens de Programação, 
 ,Laboratório de Redes de Computadores, 
 ,Projeto e Implementação de Sistemas Interativos, 
 ,Construção de Compiladores, 
 ,Redes de Computadores Avançada, 
 ,Sistemas Inteligentes e Autônomos, 
 ,Projeto e Desenvolvimento de Jogos, 
 ,Sistemas Distribuídos, 
 ,Disciplina Integradora IV - Trabalho de Conclusão, 
