Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Geometria Analítica
Empreendimentos Empresariais,Fundamentos da Computação,Cálculo I
Atividades Complementares,Fundamentos de Desenvolvimento de Software,Matemática Discreta I
Comportamento Organizacional,Disciplina Integradora I,Cálculo II
Planejamento e Gestão Estratégica de TI,Disciplina Integradora II,Cálculo III
Governança Estratégica em TI,Introdução a Sistemas de Informação,Estatística
Humanismo e Cultura Religiosa,Sistemas Operacionais,Álgebra Linear e Equações Diferenciais
Prática Profissional,Cálculo A,Informação Profissional em Ciências da Computação
Qualidade de Produto,Lógica para Computação,Computadores e Sociedade I
Legislação em Informática,Programação Orientada a Objetos,Introdução à Ciência de Computação I
Ética e Filosofia da Ciência,Arquitetura de Computadores,Laboratório de Introdução à Ciência de Computação I
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Modelagem e Projeto de Banco de Dados,Prática em Lógica Digital
Teoria da Computação,Projeto e Desenvolvimento de Software,Introdução à Lógica Digital
Fundamentos de Programação,Programação de Software Aplicado,Eletrônica para Computação
Engenharia de Software,Sistemas de Gerenciamento de Banco de Dados,Introdução à Ciência de Computação II
Matemática Discreta,Arquitetura Organizacional Aplicada a SI,Algoritmos e Estruturas de Dados I
Modelagem de Negócio,Avaliação de Desempenho de Sistemas,Prática em Sistemas Digitais
Métodos Estatísticos,Sistemas de Informação Integrados,Sistemas Digitais
Engenharia de Requisitos,Auditoria e Segurança de Sistemas de Informação,Organização de Arquivos
Interação Humano - Computador,Trabalho de Conclusão I,Modelagem Computacional em Grafos
Laboratório de Banco de Dados, ,Algoritmos Avançados e Aplicações
Fundamentos de Redes de Computadores, ,Teoria da Computação e Linguagens Formais
Gerência de Projetos de TI, ,Computação Gráfica
Gerência de Redes de Computadores, ,Cálculo Numérico
Inteligência de Negócio, ,Processos Estocásticos
Sistemas Distribuídos, ,Redes de Computadores
Tópicos Avançados em Gestão de Dados, ,Linguagens de Programação e Compiladores
Qualidade de Processo, ,Introdução ao Desenvolvimento Web
Trabalho de Conclusão II, ,Laboratório de Física Geral I
