Disciplina Eletiva,Fundamentos da Computação,Cálculo Diferencial e Integral I
Empreendimentos Empresariais,Disciplina Integradora I,Vetores e Geometria
Atividades Complementares,Disciplina Integradora II,Introdução à Lógica e Verificação de Programas
Comportamento Organizacional,Fundamentos de Programação,Introdução à Probabilidade e à Estatística
FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Lógica para Computação,Cálculo Diferencial e Integral II
Fundamentos de Desenvolvimento de Software,Programação Orientada a Objetos,Álgebra Linear I
Planejamento e Gestão Estratégica de TI,Interação Humano - Computador,Funções Diferenciáveis e Séries
Governança Estratégica em TI,Modelagem e Projeto de Banco de Dados,Caminhos no Bacharelado em Ciência da Computação
Humanismo e Cultura Religiosa,Projeto e Desenvolvimento de Software,Língua Portuguesa
Prática Profissional,Gerência de Projetos de TI,Introdução à Computação
Qualidade de Produto,Sistemas de Gerenciamento de Banco de Dados,Algoritmos e Estruturas de Dados I
Legislação em Informática, ,Técnicas de Programação I
Ética e Filosofia da Ciência, ,Algoritmos e Estruturas de Dados II
Introdução a Sistemas de Informação, ,Análise de Algoritmos
Sistemas Operacionais, ,Sistemas Operacionais
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO, ,Modelagem e Simulação
Teoria da Computação, ,Laboratório de Métodos Numéricos
Cálculo A, , 
Engenharia de Software, , 
Matemática Discreta, , 
Modelagem de Negócio, , 
Métodos Estatísticos, , 
Arquitetura de Computadores, , 
Engenharia de Requisitos, , 
Laboratório de Banco de Dados, , 
Fundamentos de Redes de Computadores, , 
Gerência de Redes de Computadores, , 
Inteligência de Negócio, , 
Programação de Software Aplicado, , 
Sistemas Distribuídos, , 
Arquitetura Organizacional Aplicada a SI, , 
Tópicos Avançados em Gestão de Dados, , 
Avaliação de Desempenho de Sistemas, , 
Sistemas de Informação Integrados, , 
Auditoria e Segurança de Sistemas de Informação, , 
Qualidade de Processo, , 
Trabalho de Conclusão I, , 
Trabalho de Conclusão II, , 
