Disciplina Eletiva,Fundamentos de Desenvolvimento de Software,CALCULO DE UMA VARIAVEL
Empreendimentos Empresariais,Humanismo e Cultura Religiosa,CALCULO A VARIAS VARIAVEIS I
Atividades Complementares,Disciplina Integradora I,ALGEBRA LINEAR I
Comportamento Organizacional,Introdução a Sistemas de Informação,PROBABILIDADE E ESTATISTICA
FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Sistemas Operacionais,EQUACOES DIFER E DE DIFERENCAS
Fundamentos da Computação,Lógica para Computação,ESTRUTURAS DISCRETAS
Planejamento e Gestão Estratégica de TI,Programação Orientada a Objetos,LOGICA PARA COMPUTACAO
Governança Estratégica em TI,Arquitetura de Computadores,ETICA CRISTA
Prática Profissional,Engenharia de Requisitos,ETICA SOCIOAMBIENT DIR HUMANOS
Qualidade de Produto,Laboratório de Banco de Dados,PROGRAMACAO II
Legislação em Informática,Modelagem e Projeto de Banco de Dados,SOFTWARE BASICO
Ética e Filosofia da Ciência,Projeto e Desenvolvimento de Software,LING FORMAIS E AUTOMATOS
Disciplina Integradora II,Gerência de Projetos de TI,SEMANTICA DE LINGUAGENS
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Programação de Software Aplicado,ANALISE DE ALGORITMOS
Teoria da Computação,Sistemas de Gerenciamento de Banco de Dados,COMPUTABILIDADE
Cálculo A,Arquitetura Organizacional Aplicada a SI,INTRODUCAO A PROGRAMACAO
Fundamentos de Programação,Tópicos Avançados em Gestão de Dados,INTR INT HUMANO-COMPUTADOR
Engenharia de Software,Sistemas de Informação Integrados,MODELAGEM DE DADOS
Matemática Discreta, ,PROGRAMACAO MODULAR
Modelagem de Negócio, ,COMPILADORES
Métodos Estatísticos, ,INTELIGENCIA ARTIFICIAL
Interação Humano - Computador, ,Mecânica Newtoniana
Fundamentos de Redes de Computadores, ,LAB DE MECANICA NEWTONIANA
Gerência de Redes de Computadores, , 
Inteligência de Negócio, , 
Sistemas Distribuídos, , 
Avaliação de Desempenho de Sistemas, , 
Auditoria e Segurança de Sistemas de Informação, , 
Qualidade de Processo, , 
Trabalho de Conclusão I, , 
Trabalho de Conclusão II, , 
