Disciplina Eletiva,Empreendimentos Empresariais,Cálculo B (CC)
Atividades Complementares,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Lógica para Computação
Comportamento Organizacional,Fundamentos da Computação,Álgebra Linear e Geometria Analítica
Governança Estratégica em TI,Fundamentos de Desenvolvimento de Software,Probabilidade e Estatística para Computação
Prática Profissional,Planejamento e Gestão Estratégica de TI,Fundamentos de Programação
Qualidade de Produto,Humanismo e Cultura Religiosa,Fundamentos do Raciocínio Lógico
Legislação em Informática,Ética e Filosofia da Ciência,Matemática Concreta
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Disciplina Integradora I,Algoritmos e Estrutura de Dados I
Modelagem de Negócio,Disciplina Integradora II,Linguagens Formais e Autômatos
Métodos Estatísticos,Introdução a Sistemas de Informação,Organização e Arquitetura de Computadores I
Inteligência de Negócio,Sistemas Operacionais,Teoria da Computabilidade e Complexidade
Auditoria e Segurança de Sistemas de Informação,Teoria da Computação,Organização e Arquitetura de Computadores II
Qualidade de Processo,Cálculo A,Sistemas Operacionais
 ,Fundamentos de Programação,Projeto e Otimização de Algoritmos
 ,Engenharia de Software,Engenharia de Software Orientada a Modelos
 ,Lógica para Computação,Programação de Baixo Nível
 ,Matemática Discreta,Modelos para Computação Concorrente
 ,Programação Orientada a Objetos,Métodos Numéricos
 ,Arquitetura de Computadores,Introdução à Redes de Computadores
 ,Engenharia de Requisitos,Interpretação de Linguagens de Programação
 ,Interação Humano - Computador,Computação Paralela
 ,Laboratório de Banco de Dados,Projeto e Implementação de Sistemas Interativos
 ,Fundamentos de Redes de Computadores,Construção de Compiladores
 ,Modelagem e Projeto de Banco de Dados,Simulação e Métodos Analíticos
 ,Projeto e Desenvolvimento de Software,Sistemas Inteligentes e Autônomos
 ,Gerência de Projetos de TI,Projeto e Desenvolvimento de Jogos
 ,Gerência de Redes de Computadores, 
 ,Programação de Software Aplicado, 
 ,Sistemas Distribuídos, 
 ,Sistemas de Gerenciamento de Banco de Dados, 
 ,Arquitetura Organizacional Aplicada a SI, 
 ,Tópicos Avançados em Gestão de Dados, 
 ,Avaliação de Desempenho de Sistemas, 
 ,Sistemas de Informação Integrados, 
 ,Trabalho de Conclusão I, 
 ,Trabalho de Conclusão II, 
