Disciplina Eletiva,Fundamentos da Computação,LÓGICA MATEMÁTICA
Empreendimentos Empresariais,Fundamentos de Desenvolvimento de Software,CÁLCULO 2
Atividades Complementares,Qualidade de Produto,PROBABILIDADE E ESTATÍSTICA
Comportamento Organizacional,Legislação em Informática,COMPUTADOR E SOCIEDADE
FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Introdução a Sistemas de Informação,EMPREENDEDORISMO
Planejamento e Gestão Estratégica de TI,Sistemas Operacionais,TÓPICOS 2
Governança Estratégica em TI,Teoria da Computação,INTRODUÇÃO À COMPUTAÇÃO
Humanismo e Cultura Religiosa,Cálculo A,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Prática Profissional,Engenharia de Software,ARQUITETURA DE COMPUTADORES
Ética e Filosofia da Ciência,Lógica para Computação,ESTRUTURAS DE DADOS I
Disciplina Integradora I,Matemática Discreta,TEORIA DOS GRAFOS
Disciplina Integradora II,Programação Orientada a Objetos,ANÁLISE E PROJETO DE ALGORITMOS
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Arquitetura de Computadores,ESTRUTURAS DE DADOS II
Fundamentos de Programação,Engenharia de Requisitos,SISTEMAS OPERACIONAIS 1
Modelagem de Negócio,Interação Humano - Computador,LINGUAGENS FORMAIS E AUTÔMATOS
Métodos Estatísticos,Laboratório de Banco de Dados,FÍSICA PARA COMPUTAÇÃO
Inteligência de Negócio,Fundamentos de Redes de Computadores,PROGRAMAÇÃO ORIENTADA A OBJETOS
Programação de Software Aplicado,Modelagem e Projeto de Banco de Dados,BANCO DE DADOS
Tópicos Avançados em Gestão de Dados,Projeto e Desenvolvimento de Software,PESQUISA OPERACIONAL
Qualidade de Processo,Gerência de Projetos de TI,REDES DE COMPUTADORES 1
Trabalho de Conclusão I,Gerência de Redes de Computadores,REDES DE COMPUTADORES 2
Trabalho de Conclusão II,Sistemas Distribuídos,SISTEMAS DISTRIBUÍDOS
 ,Sistemas de Gerenciamento de Banco de Dados,COMPUTAÇÃO GRÁFICA
 ,Arquitetura Organizacional Aplicada a SI,PROJETO DE SOFTWARE
 ,Avaliação de Desempenho de Sistemas,PROJETO FINAL DE CURSO 1
 ,Sistemas de Informação Integrados,MULTIMÍDIA
 ,Auditoria e Segurança de Sistemas de Informação,PROJETO FINAL DE CURSO 2
