Disciplina Eletiva,Fundamentos da Computação,CALCULO DIFERENCIAL E INTEGRAL 1
Empreendimentos Empresariais,Introdução a Sistemas de Informação,MATEMAT DISCRETA P/COMPUTACAO
Atividades Complementares,Sistemas Operacionais,LOGICA PARA COMPUTACAO
Comportamento Organizacional,INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,INFORMATICA E SOCIEDADE
FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Teoria da Computação,HISTORIA E FUTURO DA COMPUTACAO
Fundamentos de Desenvolvimento de Software,Fundamentos de Programação,METODOL EXPRESSAO TEC-CIENTIFICA
Planejamento e Gestão Estratégica de TI,Engenharia de Software,ALGEBRA VET LINEAR P/COMPUTACAO
Governança Estratégica em TI,Lógica para Computação,ALGORITMOS E ESTRUTURAS DE DADOS
Humanismo e Cultura Religiosa,Métodos Estatísticos,FISICA PARA COMPUTACAO
Prática Profissional,Programação Orientada a Objetos,SISTEMAS DIGITAIS
Qualidade de Produto,Arquitetura de Computadores,PARADIGMAS LING.COMPUTACIONAIS
Legislação em Informática,Engenharia de Requisitos,INTRODUCAO A COMPUTACAO
Ética e Filosofia da Ciência,Interação Humano - Computador,INFRA-ESTRUTURA DE COMUNICACAO
Disciplina Integradora I,Laboratório de Banco de Dados,INTRODUÇÃO A MULTIMIDIA
Disciplina Integradora II,Fundamentos de Redes de Computadores, 
Cálculo A,Modelagem e Projeto de Banco de Dados, 
Matemática Discreta,Projeto e Desenvolvimento de Software, 
Modelagem de Negócio,Gerência de Redes de Computadores, 
Gerência de Projetos de TI,Inteligência de Negócio, 
Arquitetura Organizacional Aplicada a SI,Programação de Software Aplicado, 
Trabalho de Conclusão I,Sistemas Distribuídos, 
Trabalho de Conclusão II,Sistemas de Gerenciamento de Banco de Dados, 
 ,Tópicos Avançados em Gestão de Dados, 
 ,Avaliação de Desempenho de Sistemas, 
 ,Sistemas de Informação Integrados, 
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Qualidade de Processo, 
